ダウンロードした時刻：2026/03/16 12:14:12

,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路,姫路
2025/1/25,8.4,0,8,1,4.7,,8,,0,1,,0
2025/1/26,7.4,0,8,1,4.7,,8,,0,1,,0
2025/1/27,2.6,0,8,1,4.8,,8,,0,1,,0
2025/1/28,5.3,0,8,1,4.8,,8,,0,1,,0
2025/1/29,7.4,0,8,1,4.9,,8,,0,1,,0
2025/1/30,8.5,0,8,1,4.9,,8,,0,1,,0
2025/1/31,4.4,0,8,1,4.9,,8,,0,1,,0
2025/2/1,3.1,0,8,1,5.0,,8,,0,1,,0
2025/2/2,1.3,0,8,1,5.0,,8,,0,1,,0
2025/2/3,4.3,0,8,1,5.0,,8,,0,1,,0
2025/2/4,8.2,0,8,1,5.0,,8,,0,1,,0
2025/2/5,6.7,0,8,1,5.0,,8,,0,1,,0
2025/2/6,6.7,0,8,1,5.0,,8,,0,1,,0
2025/2/7,4.8,0,8,1,5.0,,8,,0,1,,0
2025/2/8,8.7,0,8,1,5.0,,8,,0,1,,0
2025/2/9,8.8,0,8,1,5.0,,8,,0,1,,0
2025/2/10,8.2,0,8,1,5.0,,8,,0,1,,0
2025/2/11,7.5,0,8,1,5.0,,8,,0,1,,0
2025/2/12,0.0,0,8,1,5.0,,8,,0,1,,0
2025/2/13,5.6,0,8,1,5.0,,8,,0,1,,0
2025/2/14,10.1,0,8,1,5.0,,8,,0,1,,0
2025/2/15,7.4,0,8,1,5.0,,8,,0,1,,0
2025/2/16,8.5,0,8,1,5.0,,8,,0,1,,0
2025/2/17,7.4,0,8,1,5.1,,8,,0,1,,0
2025/2/18,6.2,0,8,1,5.1,,8,,0,1,,0
2025/2/19,7.9,0,8,1,5.1,,8,,0,1,,0
2025/2/20,5.6,0,8,1,5.2,,8,,0,1,,0
2025/2/21,4.5,0,8,1,5.2,,8,,0,1,,0
2025/2/22,7.9,0,8,1,5.2,,8,,0,1,,0
2025/2/23,6.5,0,8,1,5.2,,8,,0,1,,0
2025/2/24,7.4,0,8,1,5.2,,8,,0,1,,0
2025/2/25,10.6,0,8,1,5.2,,8,,0,1,,0
2025/2/26,9.1,0,8,1,5.2,,8,,0,1,,0
2025/2/27,8.6,0,8,1,5.2,,8,,0,1,,0
2025/2/28,1.4,0,8,1,5.2,,8,,0,1,,0
2025/3/1,8.6,0,8,1,5.2,,8,,0,1,,0
2025/3/2,0.0,0,8,1,5.2,,8,,0,1,,0
2025/3/3,0.2,0,8,1,5.3,,8,,0,1,,0
2025/3/4,0.0,0,8,1,5.3,,8,,0,1,,0
2025/3/5,0.0,0,8,1,5.3,,8,,0,1,,0
2025/3/6,3.7,0,8,1,5.4,,8,,0,1,,0
2025/3/7,5.5,0,8,1,5.4,,8,,0,1,,0
2025/3/8,3.6,0,8,1,5.4,,8,,0,1,,0
2025/3/9,6.6,0,8,1,5.5,,8,,0,1,,0
2025/3/10,10.3,0,8,1,5.5,,8,,0,1,,0
2025/3/11,0.0,0,8,1,5.6,,8,,0,1,,0
2025/3/12,4.0,0,8,1,5.6,,8,,0,1,,0
2025/3/13,2.8,0,8,1,5.6,,8,,0,1,,0
2025/3/14,9.1,0,8,1,5.6,,8,,0,1,,0
2025/3/15,0.0,0,8,1,5.6,,8,,0,1,,0
2025/3/16,0.0,0,8,1,5.7,,8,,0,1,,0
2025/3/17,6.7,0,8,1,5.7,,8,,0,1,,0
2025/3/18,8.5,0,8,1,5.7,,8,,0,1,,0
2025/3/19,5.5,0,8,1,5.7,,8,,0,1,,0
2025/3/20,7.6,0,8,1,5.7,,8,,0,1,,0
2025/3/21,10.0,0,8,1,5.7,,8,,0,1,,0
2025/3/22,11.2,0,8,1,5.7,,8,,0,1,,0
2025/3/23,11.2,0,8,1,5.7,,8,,0,1,,0
2025/3/24,4.7,0,8,1,5.8,,8,,0,1,,0
2025/3/25,10.0,0,8,1,5.8,,8,,0,1,,0
2025/3/26,10.8,0,8,1,5.8,,8,,0,1,,0
2025/3/27,0.3,0,8,1,5.9,,8,,0,1,,0
2025/3/28,1.2,0,8,1,5.9,,8,,0,1,,0
2025/3/29,4.6,0,8,1,5.9,,8,,0,1,,0
2025/3/30,6.0,0,8,1,6.0,,8,,0,1,,0
2025/3/31,11.0,0,8,1,6.0,,8,,0,1,,0
2025/4/1,2.7,0,8,1,6.1,,8,,0,1,,0
2025/4/2,1.2,0,8,1,6.1,,8,,0,1,,0
2025/4/3,7.5,0,8,1,6.1,,8,,0,1,,0
2025/4/4,6.1,0,8,1,6.1,,8,,0,1,,0
2025/4/5,7.6,0,8,1,6.2,,8,,0,1,,0
2025/4/6,9.7,0,8,1,6.2,,8,,0,1,,0
2025/4/7,11.4,0,8,1,6.2,,8,,0,1,,0
2025/4/8,8.3,0,8,1,6.2,,8,,0,1,,0
2025/4/9,11.9,0,8,1,6.2,,8,,0,1,,0
2025/4/10,1.5,0,8,1,6.3,,8,,0,1,,0
2025/4/11,2.5,0,8,1,6.3,,8,,0,1,,0
2025/4/12,7.4,0,8,1,6.3,,8,,0,1,,0
2025/4/13,0.2,0,8,1,6.3,,8,,0,1,,0
2025/4/14,7.0,0,8,1,6.3,,8,,0,1,,0
2025/4/15,5.7,0,8,1,6.3,,8,,0,1,,0
2025/4/16,9.1,0,8,1,6.4,,8,,0,1,,0
2025/4/17,11.3,0,8,1,6.4,,8,,0,1,,0
2025/4/18,6.8,0,8,1,6.4,,8,,0,1,,0
2025/4/19,7.8,0,8,1,6.4,,8,,0,1,,0
2025/4/20,1.3,0,8,1,6.4,,8,,0,1,,0
2025/4/21,12.4,0,8,1,6.4,,8,,0,1,,0
2025/4/22,6.0,0,8,1,6.5,,8,,0,1,,0
2025/4/23,0.2,0,8,1,6.5,,8,,0,1,,0
2025/4/24,8.7,0,8,1,6.6,,8,,0,1,,0
2025/4/25,4.5,0,8,1,6.6,,8,,0,1,,0
2025/4/26,12.8,0,8,1,6.6,,8,,0,1,,0
2025/4/27,10.9,0,8,1,6.7,,8,,0,1,,0
2025/4/28,0.4,0,8,1,6.7,,8,,0,1,,0
2025/4/29,12.3,0,8,1,6.7,,8,,0,1,,0
2025/4/30,12.7,0,8,1,6.7,,8,,0,1,,0
2025/5/1,11.7,0,8,1,6.7,,8,,0,1,,0
2025/5/2,4.6,0,8,1,6.6,,8,,0,1,,0
2025/5/3,11.5,0,8,1,6.6,,8,,0,1,,0
2025/5/4,11.5,0,8,1,6.6,,8,,0,1,,0
2025/5/5,9.6,0,8,1,6.5,,8,,0,1,,0
2025/5/6,0.0,0,8,1,6.5,,8,,0,1,,0
2025/5/7,5.3,0,8,1,6.5,,8,,0,1,,0
2025/5/8,12.1,0,8,1,6.5,,8,,0,1,,0
2025/5/9,0.0,0,8,1,6.5,,8,,0,1,,0
2025/5/10,4.6,0,8,1,6.5,,8,,0,1,,0
2025/5/11,3.5,0,8,1,6.5,,8,,0,1,,0
2025/5/12,4.5,0,8,1,6.5,,8,,0,1,,0
2025/5/13,12.8,0,8,1,6.5,,8,,0,1,,0
2025/5/14,11.0,0,8,1,6.5,,8,,0,1,,0
2025/5/15,8.2,0,8,1,6.6,,8,,0,1,,0
2025/5/16,0.6,0,8,1,6.6,,8,,0,1,,0
2025/5/17,1.2,0,8,1,6.7,,8,,0,1,,0
2025/5/18,6.0,0,8,1,6.7,,8,,0,1,,0
2025/5/19,7.8,0,8,1,6.8,,8,,0,1,,0
2025/5/20,12.2,0,8,1,6.8,,8,,0,1,,0
2025/5/21,1.1,0,8,1,6.8,,8,,0,1,,0
2025/5/22,6.0,0,8,1,6.9,,8,,0,1,,0
2025/5/23,8.5,0,8,1,6.9,,8,,0,1,,0
2025/5/24,0.0,0,8,1,6.8,,8,,0,1,,0
2025/5/25,2.4,0,8,1,6.8,,8,,0,1,,0
2025/5/26,0.1,0,5,1,6.8,,8,,0,1,,0
2025/5/27,11.1,0,8,1,6.7,,8,,0,1,,0
2025/5/28,10.2,0,8,1,6.7,,8,,0,1,,0
2025/5/29,0.0,0,8,1,6.6,,8,,0,1,,0
2025/5/30,2.9,0,8,1,6.6,,8,,0,1,,0
2025/5/31,9.5,0,8,1,6.5,,8,,0,1,,0
2025/6/1,10.7,0,8,1,6.5,,8,,0,1,,0
2025/6/2,3.5,0,8,1,6.4,,8,,0,1,,0
2025/6/3,0.0,0,8,1,6.3,,8,,0,1,,0
2025/6/4,11.8,0,8,1,6.2,,8,,0,1,,0
2025/6/5,13.3,0,8,1,6.1,,8,,0,1,,0
2025/6/6,7.7,0,8,1,6.0,,8,,0,1,,0
2025/6/7,4.1,0,8,1,5.9,,8,,0,1,,0
2025/6/8,0.8,0,8,1,5.8,,8,,0,1,,0
2025/6/9,2.2,0,8,1,5.7,,8,,0,1,,0
2025/6/10,0.0,0,8,1,5.6,,8,,0,1,,0
2025/6/11,0.4,0,8,1,5.5,,8,,0,1,,0
2025/6/12,2.5,0,8,1,5.5,,8,,0,1,,0
2025/6/13,7.7,0,8,1,5.4,,8,,0,1,,0
2025/6/14,0.0,0,8,1,5.3,,8,,0,1,,0
2025/6/15,6.1,0,8,1,5.2,,8,,0,1,,0
2025/6/16,7.3,0,8,1,5.1,,8,,0,1,,0
2025/6/17,10.7,0,8,1,5.0,,8,,0,1,,0
2025/6/18,5.8,0,8,1,4.9,,8,,0,1,,0
2025/6/19,13.2,0,8,1,4.8,,8,,0,1,,0
2025/6/20,12.8,0,8,1,4.7,,8,,0,1,,0
2025/6/21,5.1,0,8,1,4.5,,8,,0,1,,0
2025/6/22,6.1,0,8,1,4.4,,8,,0,1,,0
2025/6/23,0.2,0,8,1,4.3,,8,,0,1,,0
2025/6/24,0.0,0,8,1,4.3,,8,,0,1,,0
2025/6/25,4.5,0,8,1,4.2,,8,,0,1,,0
2025/6/26,8.7,0,8,1,4.2,,8,,0,1,,0
2025/6/27,11.4,0,8,1,4.2,,8,,0,1,,0
2025/6/28,13.1,0,8,1,4.2,,8,,0,1,,0
2025/6/29,11.9,0,8,1,4.2,,8,,0,1,,0
2025/6/30,12.7,0,8,1,4.2,,8,,0,1,,0
2025/7/1,9.9,0,8,1,4.3,,8,,0,1,,0
2025/7/2,6.6,0,8,1,4.3,,8,,0,1,,0
2025/7/3,6.1,0,8,1,4.3,,8,,0,1,,0
2025/7/4,7.3,0,8,1,4.4,,8,,0,1,,0
2025/7/5,9.8,0,8,1,4.4,,8,,0,1,,0
2025/7/6,11.2,0,8,1,4.5,,8,,0,1,,0
2025/7/7,9.1,0,8,1,4.6,,8,,0,1,,0
2025/7/8,6.0,0,8,1,4.6,,8,,0,1,,0
2025/7/9,10.7,0,8,1,4.7,,8,,0,1,,0
2025/7/10,11.2,0,8,1,4.8,,8,,0,1,,0
2025/7/11,7.9,0,8,1,4.9,,8,,0,1,,0
2025/7/12,9.2,0,8,1,5.0,,8,,0,1,,0
2025/7/13,9.2,0,8,1,5.1,,8,,0,1,,0
2025/7/14,0.4,0,8,1,5.2,,8,,0,1,,0
2025/7/15,8.9,0,8,1,5.4,,8,,0,1,,0
2025/7/16,7.1,0,8,1,5.5,,8,,0,1,,0
2025/7/17,0.0,0,8,1,5.7,,8,,0,1,,0
2025/7/18,6.1,0,8,1,5.9,,8,,0,1,,0
2025/7/19,8.1,0,8,1,6.0,,8,,0,1,,0
2025/7/20,12.0,0,8,1,6.2,,8,,0,1,,0
2025/7/21,10.6,0,8,1,6.3,,8,,0,1,,0
2025/7/22,10.9,0,8,1,6.4,,8,,0,1,,0
2025/7/23,12.1,0,8,1,6.5,,8,,0,1,,0
2025/7/24,13.0,0,8,1,6.6,,8,,0,1,,0
2025/7/25,13.1,0,8,1,6.7,,8,,0,1,,0
2025/7/26,11.8,0,8,1,6.8,,8,,0,1,,0
2025/7/27,13.4,0,8,1,6.8,,8,,0,1,,0
2025/7/28,13.4,0,8,1,6.9,,8,,0,1,,0
2025/7/29,13.1,0,8,1,6.9,,8,,0,1,,0
2025/7/30,12.1,0,8,1,7.0,,8,,0,1,,0
2025/7/31,11.6,0,8,1,7.0,,8,,0,1,,0
2025/8/1,6.8,0,8,1,7.1,,8,,0,1,,0
2025/8/2,13.0,0,8,1,7.1,,8,,0,1,,0
2025/8/3,9.6,0,8,1,7.1,,8,,0,1,,0
2025/8/4,7.6,0,8,1,7.1,,8,,0,1,,0
2025/8/5,9.6,0,8,1,7.1,,8,,0,1,,0
2025/8/6,11.8,0,8,1,7.1,,8,,0,1,,0
2025/8/7,2.1,0,8,1,7.1,,8,,0,1,,0
2025/8/8,5.4,0,8,1,7.0,,8,,0,1,,0
2025/8/9,2.0,0,8,1,6.9,,8,,0,1,,0
2025/8/10,0.0,0,8,1,6.9,,8,,0,1,,0
2025/8/11,0.0,0,8,1,6.8,,8,,0,1,,0
2025/8/12,0.9,0,8,1,6.8,,8,,0,1,,0
2025/8/13,4.0,0,8,1,6.7,,8,,0,1,,0
2025/8/14,9.9,0,8,1,6.7,,8,,0,1,,0
2025/8/15,8.1,0,8,1,6.7,,8,,0,1,,0
2025/8/16,8.9,0,8,1,6.7,,8,,0,1,,0
2025/8/17,7.3,0,8,1,6.7,,8,,0,1,,0
2025/8/18,10.9,0,8,1,6.7,,8,,0,1,,0
2025/8/19,10.0,0,8,1,6.7,,8,,0,1,,0
2025/8/20,10.1,0,8,1,6.7,,8,,0,1,,0
2025/8/21,12.5,0,8,1,6.7,,8,,0,1,,0
2025/8/22,10.5,0,8,1,6.7,,8,,0,1,,0
2025/8/23,3.2,0,8,1,6.6,,8,,0,1,,0
2025/8/24,8.6,0,8,1,6.6,,8,,0,1,,0
2025/8/25,7.6,0,8,1,6.5,,8,,0,1,,0
2025/8/26,7.0,0,8,1,6.5,,8,,0,1,,0
2025/8/27,4.1,0,8,1,6.4,,8,,0,1,,0
2025/8/28,9.6,0,8,1,6.3,,8,,0,1,,0
2025/8/29,8.0,0,8,1,6.2,,8,,0,1,,0
2025/8/30,9.3,0,8,1,6.1,,8,,0,1,,0
2025/8/31,11.8,0,8,1,6.0,,8,,0,1,,0
2025/9/1,11.1,0,8,1,6.0,,8,,0,1,,0
2025/9/2,10.2,0,8,1,5.9,,8,,0,1,,0
2025/9/3,7.2,0,8,1,5.8,,8,,0,1,,0
2025/9/4,0.0,0,8,1,5.8,,8,,0,1,,0
2025/9/5,3.5,0,8,1,5.7,,8,,0,1,,0
2025/9/6,12.2,0,8,1,5.7,,8,,0,1,,0
2025/9/7,7.2,0,8,1,5.6,,8,,0,1,,0
2025/9/8,5.7,0,8,1,5.6,,8,,0,1,,0
2025/9/9,6.7,0,8,1,5.5,,8,,0,1,,0
2025/9/10,1.3,0,8,1,5.5,,8,,0,1,,0
2025/9/11,1.7,0,8,1,5.4,,8,,0,1,,0
2025/9/12,2.3,0,8,1,5.4,,8,,0,1,,0
2025/9/13,0.5,0,8,1,5.3,,8,,0,1,,0
2025/9/14,1.7,0,8,1,5.3,,8,,0,1,,0
2025/9/15,9.5,0,8,1,5.2,,8,,0,1,,0
2025/9/16,8.9,0,8,1,5.2,,8,,0,1,,0
2025/9/17,5.5,0,8,1,5.2,,8,,0,1,,0
2025/9/18,2.5,0,8,1,5.2,,8,,0,1,,0
2025/9/19,7.1,0,8,1,5.1,,8,,0,1,,0
2025/9/20,2.4,0,8,1,5.1,,8,,0,1,,0
2025/9/21,6.4,0,8,1,5.1,,8,,0,1,,0
2025/9/22,7.6,0,8,1,5.1,,8,,0,1,,0
2025/9/23,0.0,0,8,1,5.1,,8,,0,1,,0
2025/9/24,2.2,0,8,1,5.1,,8,,0,1,,0
2025/9/25,0.1,0,8,1,5.1,,8,,0,1,,0
2025/9/26,3.5,0,8,1,5.1,,8,,0,1,,0
2025/9/27,5.3,0,8,1,5.1,,8,,0,1,,0
2025/9/28,2.3,0,8,1,5.1,,8,,0,1,,0
2025/9/29,4.5,0,8,1,5.0,,8,,0,1,,0
2025/9/30,6.2,0,8,1,5.0,,8,,0,1,,0
2025/10/1,10.4,0,8,1,5.0,,8,,0,1,,0
2025/10/2,6.5,0,8,1,5.0,,8,,0,1,,0
2025/10/3,0.0,0,8,1,5.0,,8,,0,1,,0
2025/10/4,0.0,0,8,1,5.0,,8,,0,1,,0
2025/10/5,3.0,0,8,1,5.0,,8,,0,1,,0
2025/10/6,8.9,0,8,1,5.0,,8,,0,1,,0
2025/10/7,9.3,0,8,1,5.0,,8,,0,1,,0
2025/10/8,6.2,0,8,1,5.1,,8,,0,1,,0
2025/10/9,10.5,0,8,1,5.1,,8,,0,1,,0
2025/10/10,10.9,0,8,1,5.2,,8,,0,1,,0
2025/10/11,0.1,0,8,1,5.3,,8,,0,1,,0
2025/10/12,0.0,0,8,1,5.3,,8,,0,1,,0
2025/10/13,3.1,0,8,1,5.4,,8,,0,1,,0
2025/10/14,5.2,0,8,1,5.5,,8,,0,1,,0
2025/10/15,7.2,0,8,1,5.5,,8,,0,1,,0
2025/10/16,0.1,0,8,1,5.6,,8,,0,1,,0
2025/10/17,9.3,0,8,1,5.6,,8,,0,1,,0
2025/10/18,1.5,0,8,1,5.6,,8,,0,1,,0
2025/10/19,2.3,0,8,1,5.7,,8,,0,1,,0
2025/10/20,1.0,0,5,1,5.7,,8,,0,1,,0
2025/10/21,0.2,0,8,1,5.7,,8,,0,1,,0
2025/10/22,0.0,0,8,1,5.7,,8,,0,1,,0
2025/10/23,10.1,0,8,1,5.6,,8,,0,1,,0
2025/10/24,10.2,0,8,1,5.6,,8,,0,1,,0
2025/10/25,0.2,0,8,1,5.6,,8,,0,1,,0
2025/10/26,0.1,0,8,1,5.6,,8,,0,1,,0
2025/10/27,7.5,0,8,1,5.6,,8,,0,1,,0
2025/10/28,8.4,0,8,1,5.6,,8,,0,1,,0
2025/10/29,8.3,0,8,1,5.6,,8,,0,1,,0
2025/10/30,10.0,0,8,1,5.6,,8,,0,1,,0
2025/10/31,0.0,0,8,1,5.6,,8,,0,1,,0
2025/11/1,6.4,0,8,1,5.6,,8,,0,1,,0
2025/11/2,4.9,0,8,1,5.6,,8,,0,1,,0
2025/11/3,7.5,0,8,1,5.6,,8,,0,1,,0
2025/11/4,7.5,0,8,1,5.6,,8,,0,1,,0
2025/11/5,0.9,0,8,1,5.5,,8,,0,1,,0
2025/11/6,6.0,0,8,1,5.5,,8,,0,1,,0
2025/11/7,9.0,0,8,1,5.4,,8,,0,1,,0
2025/11/8,8.7,0,8,1,5.4,,8,,0,1,,0
2025/11/9,0.0,0,8,1,5.3,,8,,0,1,,0
2025/11/10,8.2,0,8,1,5.2,,8,,0,1,,0
2025/11/11,8.3,0,8,1,5.2,,8,,0,1,,0
2025/11/12,4.2,0,8,1,5.1,,8,,0,1,,0
2025/11/13,0.0,0,8,1,5.1,,8,,0,1,,0
2025/11/14,6.1,0,8,1,5.1,,8,,0,1,,0
2025/11/15,6.2,0,8,1,5.1,,8,,0,1,,0
2025/11/16,9.8,0,8,1,5.1,,8,,0,1,,0
2025/11/17,6.5,0,8,1,5.1,,8,,0,1,,0
2025/11/18,2.3,0,8,1,5.1,,8,,0,1,,0
2025/11/19,5.1,0,8,1,5.1,,8,,0,1,,0
2025/11/20,7.6,0,8,1,5.1,,8,,0,1,,0
2025/11/21,5.6,0,8,1,5.1,,8,,0,1,,0
2025/11/22,9.4,0,8,1,5.1,,8,,0,1,,0
2025/11/23,9.1,0,8,1,5.0,,8,,0,1,,0
2025/11/24,5.1,0,8,1,5.0,,8,,0,1,,0
2025/11/25,1.6,0,8,1,5.0,,8,,0,1,,0
2025/11/26,7.0,0,8,1,5.0,,8,,0,1,,0
2025/11/27,7.1,0,8,1,5.0,,8,,0,1,,0
2025/11/28,5.8,0,8,1,5.0,,8,,0,1,,0
2025/11/29,9.0,0,8,1,5.0,,8,,0,1,,0
2025/11/30,9.2,0,8,1,5.1,,8,,0,1,,0
2025/12/1,3.9,0,8,1,5.1,,8,,0,1,,0
2025/12/2,5.0,0,8,1,5.1,,8,,0,1,,0
2025/12/3,5.0,0,8,1,5.1,,8,,0,1,,0
2025/12/4,6.4,0,8,1,5.1,,8,,0,1,,0
2025/12/5,6.6,0,8,1,5.1,,8,,0,1,,0
2025/12/6,9.5,0,8,1,5.1,,8,,0,1,,0
2025/12/7,8.1,0,8,1,5.1,,8,,0,1,,0
2025/12/8,4.8,0,8,1,5.1,,8,,0,1,,0
2025/12/9,8.3,0,8,1,5.1,,8,,0,1,,0
2025/12/10,7.4,0,8,1,5.1,,8,,0,1,,0
2025/12/11,4.4,0,8,1,5.0,,8,,0,1,,0
2025/12/12,3.7,0,8,1,5.0,,8,,0,1,,0
2025/12/13,7.2,0,8,1,5.0,,8,,0,1,,0
2025/12/14,5.1,0,8,1,4.9,,8,,0,1,,0
2025/12/15,7.4,0,8,1,4.9,,8,,0,1,,0
2025/12/16,7.9,0,8,1,4.9,,8,,0,1,,0
2025/12/17,0.3,0,8,1,4.9,,8,,0,1,,0
2025/12/18,6.6,0,8,1,4.9,,8,,0,1,,0
2025/12/19,7.4,0,8,1,4.9,,8,,0,1,,0
2025/12/20,1.9,0,8,1,4.8,,8,,0,1,,0
2025/12/21,0.0,0,8,1,4.8,,8,,0,1,,0
2025/12/22,5.4,0,8,1,4.8,,8,,0,1,,0
2025/12/23,8.2,0,8,1,4.8,,8,,0,1,,0
2025/12/24,0.4,0,8,1,4.9,,8,,0,1,,0
2025/12/25,0.0,0,8,1,4.9,,8,,0,1,,0
2025/12/26,8.1,0,8,1,4.9,,8,,0,1,,0
2025/12/27,7.7,0,8,1,4.9,,8,,0,1,,0
2025/12/28,7.9,0,8,1,4.9,,8,,0,1,,0
2025/12/29,5.6,0,8,1,5.0,,8,,0,1,,0
2025/12/30,5.4,0,8,1,5.0,,8,,0,1,,0
2025/12/31,4.6,0,8,1,5.0,,8,,0,1,,0
