ダウンロードした時刻：2026/03/16 12:19:38

,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎,枕崎
2025/1/24,0.0,0,8,1,3.6,,8,,0,1,,0
2025/1/25,7.6,0,8,1,3.6,,8,,0,1,,0
2025/1/26,7.8,0,8,1,3.6,,8,,0,1,,0
2025/1/27,0.4,0,8,1,3.7,,8,,0,1,,0
2025/1/28,1.0,0,8,1,3.8,,8,,0,1,,0
2025/1/29,0.7,0,8,1,3.8,,8,,0,1,,0
2025/1/30,9.1,0,8,1,3.9,,8,,0,1,,0
2025/1/31,9.9,0,8,1,3.9,,8,,0,1,,0
2025/2/1,0.0,0,8,1,4.0,,8,,0,1,,0
2025/2/2,5.2,0,8,1,4.0,,8,,0,1,,0
2025/2/3,3.9,0,8,1,4.1,,8,,0,1,,0
2025/2/4,4.2,0,8,1,4.1,,8,,0,1,,0
2025/2/5,1.5,0,8,1,4.1,,8,,0,1,,0
2025/2/6,4.4,0,8,1,4.2,,8,,0,1,,0
2025/2/7,0.9,0,8,1,4.2,,8,,0,1,,0
2025/2/8,2.1,0,8,1,4.2,,8,,0,1,,0
2025/2/9,6.1,0,8,1,4.2,,8,,0,1,,0
2025/2/10,1.5,0,8,1,4.2,,8,,0,1,,0
2025/2/11,10.4,0,8,1,4.2,,8,,0,1,,0
2025/2/12,0.0,0,8,1,4.2,,8,,0,1,,0
2025/2/13,1.6,0,8,1,4.2,,8,,0,1,,0
2025/2/14,10.2,0,8,1,4.3,,8,,0,1,,0
2025/2/15,1.7,0,8,1,4.3,,8,,0,1,,0
2025/2/16,4.3,0,8,1,4.3,,8,,0,1,,0
2025/2/17,9.5,0,8,1,4.3,,8,,0,1,,0
2025/2/18,4.3,0,8,1,4.3,,8,,0,1,,0
2025/2/19,4.6,0,8,1,4.4,,8,,0,1,,0
2025/2/20,8.7,0,8,1,4.4,,8,,0,1,,0
2025/2/21,3.8,0,8,1,4.4,,8,,0,1,,0
2025/2/22,6.6,0,8,1,4.4,,8,,0,1,,0
2025/2/23,1.3,0,8,1,4.5,,8,,0,1,,0
2025/2/24,3.6,0,8,1,4.5,,8,,0,1,,0
2025/2/25,9.3,0,8,1,4.5,,8,,0,1,,0
2025/2/26,4.1,0,8,1,4.5,,8,,0,1,,0
2025/2/27,4.7,0,8,1,4.5,,8,,0,1,,0
2025/2/28,6.4,0,8,1,4.5,,8,,0,1,,0
2025/3/1,7.5,0,8,1,4.6,,8,,0,1,,0
2025/3/2,4.6,0,8,1,4.6,,8,,0,1,,0
2025/3/3,0.0,0,8,1,4.7,,8,,0,1,,0
2025/3/4,0.1,0,8,1,4.7,,8,,0,1,,0
2025/3/5,4.4,0,8,1,4.8,,8,,0,1,,0
2025/3/6,1.1,0,8,1,4.8,,8,,0,1,,0
2025/3/7,10.6,0,8,1,4.9,,8,,0,1,,0
2025/3/8,0.0,0,8,1,4.9,,8,,0,1,,0
2025/3/9,10.9,0,8,1,4.9,,8,,0,1,,0
2025/3/10,0.3,0,8,1,5.0,,8,,0,1,,0
2025/3/11,0.7,0,8,1,5.0,,8,,0,1,,0
2025/3/12,4.1,0,8,1,4.9,,8,,0,1,,0
2025/3/13,0.1,0,8,1,4.9,,8,,0,1,,0
2025/3/14,0.0,0,8,1,4.9,,8,,0,1,,0
2025/3/15,0.0,0,8,1,4.9,,8,,0,1,,0
2025/3/16,1.6,0,8,1,4.9,,8,,0,1,,0
2025/3/17,1.6,0,8,1,4.8,,8,,0,1,,0
2025/3/18,2.9,0,8,1,4.8,,8,,0,1,,0
2025/3/19,2.7,0,8,1,4.8,,8,,0,1,,0
2025/3/20,6.5,0,8,1,4.9,,8,,0,1,,0
2025/3/21,10.4,0,8,1,4.9,,8,,0,1,,0
2025/3/22,11.3,0,8,1,4.9,,8,,0,1,,0
2025/3/23,11.4,0,8,1,5.0,,8,,0,1,,0
2025/3/24,2.4,0,8,1,5.0,,8,,0,1,,0
2025/3/25,10.0,0,8,1,5.1,,8,,0,1,,0
2025/3/26,6.9,0,8,1,5.1,,8,,0,1,,0
2025/3/27,0.0,0,8,1,5.2,,8,,0,1,,0
2025/3/28,1.9,0,8,1,5.3,,8,,0,1,,0
2025/3/29,3.6,0,8,1,5.3,,8,,0,1,,0
2025/3/30,0.7,0,8,1,5.4,,8,,0,1,,0
2025/3/31,0.2,0,8,1,5.4,,8,,0,1,,0
2025/4/1,0.0,0,8,1,5.5,,8,,0,1,,0
2025/4/2,8.4,0,8,1,5.5,,8,,0,1,,0
2025/4/3,8.4,0,8,1,5.5,,8,,0,1,,0
2025/4/4,11.3,0,8,1,5.5,,8,,0,1,,0
2025/4/5,1.3,0,8,1,5.5,,8,,0,1,,0
2025/4/6,11.7,0,8,1,5.5,,8,,0,1,,0
2025/4/7,12.1,0,8,1,5.5,,8,,0,1,,0
2025/4/8,10.3,0,8,1,5.5,,8,,0,1,,0
2025/4/9,10.1,0,8,1,5.5,,8,,0,1,,0
2025/4/10,0.0,0,8,1,5.5,,8,,0,1,,0
2025/4/11,11.1,0,8,1,5.5,,8,,0,1,,0
2025/4/12,0.6,0,8,1,5.6,,8,,0,1,,0
2025/4/13,6.8,0,8,1,5.6,,8,,0,1,,0
2025/4/14,4.2,0,8,1,5.6,,8,,0,1,,0
2025/4/15,9.6,0,8,1,5.7,,8,,0,1,,0
2025/4/16,10.6,0,8,1,5.7,,8,,0,1,,0
2025/4/17,4.6,0,8,1,5.8,,8,,0,1,,0
2025/4/18,6.1,0,8,1,5.8,,8,,0,1,,0
2025/4/19,10.0,0,8,1,5.8,,8,,0,1,,0
2025/4/20,2.1,0,8,1,5.9,,8,,0,1,,0
2025/4/21,9.9,0,8,1,5.9,,8,,0,1,,0
2025/4/22,0.0,0,8,1,5.9,,8,,0,1,,0
2025/4/23,0.0,0,8,1,6.0,,8,,0,1,,0
2025/4/24,11.8,0,8,1,6.0,,8,,0,1,,0
2025/4/25,0.1,0,8,1,6.0,,8,,0,1,,0
2025/4/26,11.9,0,8,1,6.1,,8,,0,1,,0
2025/4/27,11.2,0,8,1,6.1,,8,,0,1,,0
2025/4/28,1.8,0,8,1,6.1,,8,,0,1,,0
2025/4/29,12.1,0,8,1,6.1,,8,,0,1,,0
2025/4/30,7.0,0,8,1,6.1,,8,,0,1,,0
2025/5/1,0.0,0,8,1,6.0,,8,,0,1,,0
2025/5/2,11.6,0,8,1,6.0,,8,,0,1,,0
2025/5/3,9.9,0,8,1,6.0,,8,,0,1,,0
2025/5/4,12.4,0,8,1,5.9,,8,,0,1,,0
2025/5/5,6.3,0,8,1,5.9,,8,,0,1,,0
2025/5/6,0.7,0,8,1,5.9,,8,,0,1,,0
2025/5/7,8.0,0,8,1,5.9,,8,,0,1,,0
2025/5/8,11.1,0,8,1,5.8,,8,,0,1,,0
2025/5/9,0.0,0,8,1,5.8,,8,,0,1,,0
2025/5/10,6.7,0,8,1,5.8,,8,,0,1,,0
2025/5/11,0.1,0,8,1,5.8,,8,,0,1,,0
2025/5/12,6.5,0,8,1,5.8,,8,,0,1,,0
2025/5/13,11.3,0,8,1,5.8,,8,,0,1,,0
2025/5/14,11.9,0,8,1,5.8,,8,,0,1,,0
2025/5/15,8.2,0,8,1,5.8,,8,,0,1,,0
2025/5/16,0.3,0,8,1,5.7,,8,,0,1,,0
2025/5/17,0.0,0,8,1,5.7,,8,,0,1,,0
2025/5/18,0.0,0,8,1,5.7,,8,,0,1,,0
2025/5/19,0.3,0,8,1,5.7,,8,,0,1,,0
2025/5/20,0.5,0,8,1,5.7,,8,,0,1,,0
2025/5/21,0.0,0,8,1,5.7,,8,,0,1,,0
2025/5/22,7.6,0,8,1,5.6,,8,,0,1,,0
2025/5/23,8.3,0,8,1,5.6,,8,,0,1,,0
2025/5/24,0.0,0,8,1,5.6,,8,,0,1,,0
2025/5/25,4.7,0,8,1,5.5,,8,,0,1,,0
2025/5/26,0.0,0,8,1,5.5,,8,,0,1,,0
2025/5/27,9.2,0,8,1,5.4,,8,,0,1,,0
2025/5/28,3.6,0,8,1,5.4,,8,,0,1,,0
2025/5/29,0.0,0,8,1,5.3,,8,,0,1,,0
2025/5/30,2.3,0,8,1,5.2,,8,,0,1,,0
2025/5/31,12.4,0,8,1,5.1,,8,,0,1,,0
2025/6/1,7.8,0,8,1,5.1,,8,,0,1,,0
2025/6/2,0.0,0,8,1,5.0,,8,,0,1,,0
2025/6/3,0.4,0,8,1,4.9,,8,,0,1,,0
2025/6/4,11.6,0,8,1,4.8,,8,,0,1,,0
2025/6/5,12.6,0,8,1,4.7,,8,,0,1,,0
2025/6/6,6.6,0,8,1,4.6,,8,,0,1,,0
2025/6/7,7.1,0,8,1,4.5,,8,,0,1,,0
2025/6/8,0.0,0,8,1,4.3,,8,,0,1,,0
2025/6/9,0.0,0,8,1,4.2,,8,,0,1,,0
2025/6/10,0.8,0,8,1,4.1,,8,,0,1,,0
2025/6/11,1.1,0,8,1,4.0,,8,,0,1,,0
2025/6/12,5.0,0,8,1,3.8,,8,,0,1,,0
2025/6/13,7.7,0,8,1,3.7,,8,,0,1,,0
2025/6/14,0.0,0,8,1,3.6,,8,,0,1,,0
2025/6/15,0.5,0,8,1,3.5,,8,,0,1,,0
2025/6/16,2.9,0,8,1,3.4,,8,,0,1,,0
2025/6/17,3.9,0,8,1,3.4,,8,,0,1,,0
2025/6/18,6.4,0,8,1,3.3,,8,,0,1,,0
2025/6/19,12.2,0,8,1,3.2,,8,,0,1,,0
2025/6/20,11.2,0,8,1,3.2,,8,,0,1,,0
2025/6/21,6.2,0,8,1,3.1,,8,,0,1,,0
2025/6/22,3.7,0,8,1,3.1,,8,,0,1,,0
2025/6/23,0.2,0,8,1,3.1,,8,,0,1,,0
2025/6/24,0.0,0,8,1,3.1,,8,,0,1,,0
2025/6/25,5.7,0,8,1,3.1,,8,,0,1,,0
2025/6/26,7.2,0,8,1,3.1,,8,,0,1,,0
2025/6/27,11.9,0,8,1,3.2,,8,,0,1,,0
2025/6/28,11.4,0,8,1,3.3,,8,,0,1,,0
2025/6/29,12.8,0,8,1,3.5,,8,,0,1,,0
2025/6/30,12.4,0,8,1,3.6,,8,,0,1,,0
2025/7/1,13.2,0,8,1,3.8,,8,,0,1,,0
2025/7/2,10.3,0,8,1,4.0,,8,,0,1,,0
2025/7/3,9.2,0,8,1,4.2,,8,,0,1,,0
2025/7/4,8.4,0,8,1,4.4,,8,,0,1,,0
2025/7/5,10.7,0,8,1,4.7,,8,,0,1,,0
2025/7/6,10.4,0,8,1,4.9,,8,,0,1,,0
2025/7/7,12.1,0,8,1,5.1,,8,,0,1,,0
2025/7/8,11.2,0,8,1,5.4,,8,,0,1,,0
2025/7/9,11.1,0,8,1,5.6,,8,,0,1,,0
2025/7/10,2.7,0,8,1,5.8,,8,,0,1,,0
2025/7/11,0.6,0,8,1,6.0,,8,,0,1,,0
2025/7/12,1.3,0,8,1,6.2,,8,,0,1,,0
2025/7/13,0.5,0,8,1,6.3,,8,,0,1,,0
2025/7/14,5.9,0,8,1,6.5,,8,,0,1,,0
2025/7/15,11.3,0,8,1,6.6,,8,,0,1,,0
2025/7/16,2.1,0,8,1,6.8,,8,,0,1,,0
2025/7/17,9.7,0,8,1,6.9,,8,,0,1,,0
2025/7/18,0.0,0,8,1,7.1,,8,,0,1,,0
2025/7/19,11.5,0,8,1,7.2,,8,,0,1,,0
2025/7/20,9.6,0,8,1,7.3,,8,,0,1,,0
2025/7/21,9.9,0,8,1,7.4,,8,,0,1,,0
2025/7/22,12.3,0,8,1,7.6,,8,,0,1,,0
2025/7/23,11.2,0,5,1,7.6,,8,,0,1,,0
2025/7/24,10.3,0,8,1,7.7,,8,,0,1,,0
2025/7/25,0.0,0,8,1,7.8,,8,,0,1,,0
2025/7/26,5.0,0,8,1,7.9,,8,,0,1,,0
2025/7/27,7.3,0,8,1,7.9,,8,,0,1,,0
2025/7/28,12.1,0,8,1,7.9,,8,,0,1,,0
2025/7/29,11.9,0,8,1,8.0,,8,,0,1,,0
2025/7/30,10.6,0,8,1,8.0,,8,,0,1,,0
2025/7/31,5.8,0,8,1,8.0,,8,,0,1,,0
2025/8/1,12.2,0,8,1,8.0,,8,,0,1,,0
2025/8/2,12.3,0,8,1,7.9,,8,,0,1,,0
2025/8/3,11.4,0,8,1,7.9,,8,,0,1,,0
2025/8/4,5.6,0,8,1,7.8,,8,,0,1,,0
2025/8/5,11.1,0,8,1,7.7,,8,,0,1,,0
2025/8/6,6.5,0,8,1,7.7,,8,,0,1,,0
2025/8/7,0.2,0,8,1,7.6,,8,,0,1,,0
2025/8/8,0.4,0,8,1,7.5,,8,,0,1,,0
2025/8/9,1.0,0,8,1,7.4,,8,,0,1,,0
2025/8/10,0.8,0,8,1,7.3,,8,,0,1,,0
2025/8/11,0.5,0,8,1,7.2,,8,,0,1,,0
2025/8/12,5.4,0,8,1,7.1,,8,,0,1,,0
2025/8/13,12.8,0,8,1,7.0,,8,,0,1,,0
2025/8/14,11.6,0,8,1,7.0,,8,,0,1,,0
2025/8/15,10.7,0,8,1,7.0,,8,,0,1,,0
2025/8/16,11.3,0,8,1,7.0,,8,,0,1,,0
2025/8/17,11.1,0,8,1,7.0,,8,,0,1,,0
2025/8/18,12.7,0,8,1,7.0,,8,,0,1,,0
2025/8/19,10.4,0,8,1,7.1,,8,,0,1,,0
2025/8/20,0.4,0,8,1,7.1,,8,,0,1,,0
2025/8/21,0.0,0,8,1,7.1,,8,,0,1,,0
2025/8/22,1.8,0,8,1,7.1,,8,,0,1,,0
2025/8/23,4.3,0,8,1,7.1,,8,,0,1,,0
2025/8/24,10.2,0,8,1,7.1,,8,,0,1,,0
2025/8/25,8.5,0,8,1,7.0,,8,,0,1,,0
2025/8/26,12.2,0,8,1,7.0,,8,,0,1,,0
2025/8/27,11.3,0,8,1,6.9,,8,,0,1,,0
2025/8/28,6.0,0,8,1,6.8,,8,,0,1,,0
2025/8/29,12.0,0,8,1,6.8,,8,,0,1,,0
2025/8/30,8.4,0,8,1,6.7,,8,,0,1,,0
2025/8/31,9.4,0,8,1,6.7,,8,,0,1,,0
2025/9/1,10.7,0,8,1,6.6,,8,,0,1,,0
2025/9/2,10.2,0,8,1,6.6,,8,,0,1,,0
2025/9/3,5.0,0,8,1,6.6,,8,,0,1,,0
2025/9/4,0.7,0,8,1,6.6,,8,,0,1,,0
2025/9/5,10.4,0,8,1,6.6,,8,,0,1,,0
2025/9/6,10.3,0,8,1,6.7,,8,,0,1,,0
2025/9/7,9.1,0,8,1,6.7,,8,,0,1,,0
2025/9/8,9.7,0,8,1,6.7,,8,,0,1,,0
2025/9/9,9.5,0,8,1,6.7,,8,,0,1,,0
2025/9/10,0.1,0,8,1,6.7,,8,,0,1,,0
2025/9/11,6.2,0,8,1,6.7,,8,,0,1,,0
2025/9/12,5.2,0,8,1,6.7,,8,,0,1,,0
2025/9/13,7.2,0,8,1,6.7,,8,,0,1,,0
2025/9/14,9.5,0,8,1,6.6,,8,,0,1,,0
2025/9/15,7.3,0,8,1,6.5,,8,,0,1,,0
2025/9/16,8.5,0,8,1,6.5,,8,,0,1,,0
2025/9/17,4.6,0,8,1,6.4,,8,,0,1,,0
2025/9/18,5.1,0,8,1,6.3,,8,,0,1,,0
2025/9/19,10.8,0,8,1,6.2,,8,,0,1,,0
2025/9/20,6.6,0,8,1,6.2,,8,,0,1,,0
2025/9/21,7.5,0,8,1,6.1,,8,,0,1,,0
2025/9/22,9.9,0,8,1,6.0,,8,,0,1,,0
2025/9/23,5.7,0,8,1,5.9,,8,,0,1,,0
2025/9/24,6.8,0,8,1,5.9,,8,,0,1,,0
2025/9/25,2.8,0,8,1,5.8,,8,,0,1,,0
2025/9/26,10.9,0,8,1,5.8,,8,,0,1,,0
2025/9/27,5.4,0,8,1,5.7,,8,,0,1,,0
2025/9/28,5.3,0,8,1,5.7,,8,,0,1,,0
2025/9/29,3.3,0,8,1,5.7,,8,,0,1,,0
2025/9/30,5.9,0,8,1,5.7,,8,,0,1,,0
2025/10/1,2.6,0,8,1,5.7,,8,,0,1,,0
2025/10/2,10.7,0,8,1,5.7,,8,,0,1,,0
2025/10/3,3.4,0,8,1,5.7,,8,,0,1,,0
2025/10/4,1.0,0,8,1,5.7,,8,,0,1,,0
2025/10/5,7.8,0,8,1,5.8,,8,,0,1,,0
2025/10/6,9.9,0,8,1,5.8,,8,,0,1,,0
2025/10/7,10.2,0,8,1,5.9,,8,,0,1,,0
2025/10/8,4.9,0,8,1,5.9,,8,,0,1,,0
2025/10/9,9.0,0,8,1,6.0,,8,,0,1,,0
2025/10/10,9.6,0,8,1,6.0,,8,,0,1,,0
2025/10/11,4.7,0,8,1,6.1,,8,,0,1,,0
2025/10/12,10.1,0,8,1,6.1,,8,,0,1,,0
2025/10/13,10.8,0,8,1,6.1,,8,,0,1,,0
2025/10/14,10.5,0,8,1,6.1,,8,,0,1,,0
2025/10/15,9.4,0,8,1,6.1,,8,,0,1,,0
2025/10/16,8.7,0,8,1,6.1,,8,,0,1,,0
2025/10/17,10.2,0,8,1,6.1,,8,,0,1,,0
2025/10/18,3.4,0,8,1,6.0,,8,,0,1,,0
2025/10/19,9.6,0,8,1,6.0,,8,,0,1,,0
2025/10/20,0.0,0,8,1,5.9,,8,,0,1,,0
2025/10/21,0.1,0,8,1,5.9,,8,,0,1,,0
2025/10/22,0.0,0,8,1,5.8,,8,,0,1,,0
2025/10/23,0.0,0,8,1,5.7,,8,,0,1,,0
2025/10/24,0.6,0,8,1,5.6,,8,,0,1,,0
2025/10/25,8.0,0,8,1,5.6,,8,,0,1,,0
2025/10/26,10.0,0,8,1,5.5,,8,,0,1,,0
2025/10/27,6.9,0,8,1,5.5,,8,,0,1,,0
2025/10/28,4.6,0,5,1,5.5,,8,,0,1,,0
2025/10/29,8.5,0,8,1,5.4,,8,,0,1,,0
2025/10/30,7.8,0,8,1,5.4,,8,,0,1,,0
2025/10/31,1.4,0,8,1,5.4,,8,,0,1,,0
2025/11/1,5.7,0,8,1,5.4,,8,,0,1,,0
2025/11/2,2.9,0,8,1,5.5,,8,,0,1,,0
2025/11/3,8.5,0,8,1,5.5,,8,,0,1,,0
2025/11/4,0.2,0,8,1,5.5,,8,,0,1,,0
2025/11/5,0.0,0,8,1,5.4,,8,,0,1,,0
2025/11/6,10.2,0,8,1,5.4,,8,,0,1,,0
2025/11/7,6.3,0,8,1,5.4,,8,,0,1,,0
2025/11/8,5.6,0,8,1,5.3,,8,,0,1,,0
2025/11/9,0.2,0,8,1,5.3,,8,,0,1,,0
2025/11/10,0.0,0,8,1,5.2,,8,,0,1,,0
2025/11/11,0.0,0,8,1,5.1,,8,,0,1,,0
2025/11/12,0.0,0,8,1,5.1,,8,,0,1,,0
2025/11/13,0.0,0,8,1,5.0,,8,,0,1,,0
2025/11/14,10.0,0,8,1,5.0,,8,,0,1,,0
2025/11/15,9.9,0,8,1,4.9,,8,,0,1,,0
2025/11/16,7.0,0,8,1,4.9,,8,,0,1,,0
2025/11/17,2.6,0,8,1,4.9,,8,,0,1,,0
2025/11/18,2.4,0,8,1,4.8,,8,,0,1,,0
2025/11/19,1.1,0,8,1,4.8,,8,,0,1,,0
2025/11/20,4.1,0,8,1,4.8,,8,,0,1,,0
2025/11/21,6.4,0,8,1,4.8,,8,,0,1,,0
2025/11/22,9.8,0,8,1,4.8,,8,,0,1,,0
2025/11/23,9.6,0,8,1,4.7,,8,,0,1,,0
2025/11/24,6.8,0,8,1,4.7,,8,,0,1,,0
2025/11/25,3.5,0,8,1,4.7,,8,,0,1,,0
2025/11/26,9.8,0,8,1,4.6,,8,,0,1,,0
2025/11/27,4.7,0,8,1,4.6,,8,,0,1,,0
2025/11/28,4.8,0,8,1,4.6,,8,,0,1,,0
2025/11/29,9.9,0,8,1,4.5,,8,,0,1,,0
2025/11/30,9.7,0,8,1,4.5,,8,,0,1,,0
2025/12/1,4.4,0,8,1,4.4,,8,,0,1,,0
2025/12/2,1.9,0,8,1,4.4,,8,,0,1,,0
2025/12/3,1.1,0,8,1,4.3,,8,,0,1,,0
2025/12/4,6.6,0,8,1,4.3,,8,,0,1,,0
2025/12/5,4.5,0,8,1,4.2,,8,,0,1,,0
2025/12/6,7.4,0,8,1,4.2,,8,,0,1,,0
2025/12/7,9.5,0,8,1,4.1,,8,,0,1,,0
2025/12/8,4.9,0,8,1,4.0,,8,,0,1,,0
2025/12/9,9.2,0,8,1,4.0,,8,,0,1,,0
2025/12/10,9.2,0,8,1,3.9,,8,,0,1,,0
2025/12/11,0.1,0,8,1,3.9,,8,,0,1,,0
2025/12/12,9.4,0,8,1,3.8,,8,,0,1,,0
2025/12/13,0.4,0,8,1,3.8,,8,,0,1,,0
2025/12/14,3.7,0,8,1,3.8,,8,,0,1,,0
2025/12/15,6.2,0,8,1,3.8,,8,,0,1,,0
2025/12/16,9.7,0,8,1,3.8,,8,,0,1,,0
2025/12/17,5.3,0,8,1,3.8,,8,,0,1,,0
2025/12/18,9.6,0,8,1,3.8,,8,,0,1,,0
2025/12/19,5.9,0,8,1,3.9,,8,,0,1,,0
2025/12/20,0.0,0,8,1,3.9,,8,,0,1,,0
2025/12/21,3.2,0,8,1,4.0,,8,,0,1,,0
2025/12/22,9.6,0,8,1,4.0,,8,,0,1,,0
2025/12/23,7.7,0,8,1,4.1,,8,,0,1,,0
2025/12/24,1.9,0,8,1,4.1,,8,,0,1,,0
2025/12/25,0.7,0,8,1,4.2,,8,,0,1,,0
2025/12/26,0.1,0,8,1,4.2,,8,,0,1,,0
2025/12/27,7.0,0,8,1,4.2,,8,,0,1,,0
2025/12/28,9.6,0,8,1,4.2,,8,,0,1,,0
2025/12/29,7.4,0,8,1,4.2,,8,,0,1,,0
2025/12/30,2.7,0,8,1,4.1,,8,,0,1,,0
2025/12/31,4.1,0,8,1,4.1,,8,,0,1,,0
