ダウンロードした時刻：2026/03/16 12:17:07

,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市,四日市
2025/1/25,9.6,0,8,1,4.8,,8,,0,1,,0
2025/1/26,9.6,0,8,1,4.9,,8,,0,1,,0
2025/1/27,0.2,0,8,1,5.0,,8,,0,1,,0
2025/1/28,8.9,0,8,1,5.0,,8,,0,1,,0
2025/1/29,7.7,0,8,1,5.1,,8,,0,1,,0
2025/1/30,5.7,0,8,1,5.1,,8,,0,1,,0
2025/1/31,2.2,0,8,1,5.2,,8,,0,1,,0
2025/2/1,4.4,0,8,1,5.2,,8,,0,1,,0
2025/2/2,0.1,0,8,1,5.2,,8,,0,1,,0
2025/2/3,2.5,0,8,1,5.2,,8,,0,1,,0
2025/2/4,6.7,0,8,1,5.2,,8,,0,1,,0
2025/2/5,7.8,0,8,1,5.2,,8,,0,1,,0
2025/2/6,8.5,0,8,1,5.2,,8,,0,1,,0
2025/2/7,6.9,0,8,1,5.2,,8,,0,1,,0
2025/2/8,1.2,0,8,1,5.2,,8,,0,1,,0
2025/2/9,7.0,0,8,1,5.2,,8,,0,1,,0
2025/2/10,7.7,0,8,1,5.2,,8,,0,1,,0
2025/2/11,4.3,0,8,1,5.1,,8,,0,1,,0
2025/2/12,2.4,0,8,1,5.1,,8,,0,1,,0
2025/2/13,3.4,0,8,1,5.1,,8,,0,1,,0
2025/2/14,9.4,0,8,1,5.2,,8,,0,1,,0
2025/2/15,8.4,0,8,1,5.2,,8,,0,1,,0
2025/2/16,5.7,0,8,1,5.2,,8,,0,1,,0
2025/2/17,4.4,0,8,1,5.3,,8,,0,1,,0
2025/2/18,6.1,0,8,1,5.3,,8,,0,1,,0
2025/2/19,2.2,0,8,1,5.4,,8,,0,1,,0
2025/2/20,6.4,0,8,1,5.4,,8,,0,1,,0
2025/2/21,6.1,0,8,1,5.5,,8,,0,1,,0
2025/2/22,8.2,0,8,1,5.5,,8,,0,1,,0
2025/2/23,6.0,0,8,1,5.5,,8,,0,1,,0
2025/2/24,7.2,0,8,1,5.6,,8,,0,1,,0
2025/2/25,10.0,0,8,1,5.6,,8,,0,1,,0
2025/2/26,8.9,0,8,1,5.6,,8,,0,1,,0
2025/2/27,9.8,0,8,1,5.6,,8,,0,1,,0
2025/2/28,1.1,0,8,1,5.6,,8,,0,1,,0
2025/3/1,10.1,0,8,1,5.6,,8,,0,1,,0
2025/3/2,0.0,0,8,1,5.6,,8,,0,1,,0
2025/3/3,0.0,0,8,1,5.6,,8,,0,1,,0
2025/3/4,0.0,0,8,1,5.6,,8,,0,1,,0
2025/3/5,0.0,0,8,1,5.7,,8,,0,1,,0
2025/3/6,2.2,0,8,1,5.7,,8,,0,1,,0
2025/3/7,10.2,0,8,1,5.7,,8,,0,1,,0
2025/3/8,4.1,0,8,1,5.8,,8,,0,1,,0
2025/3/9,10.8,0,8,1,5.8,,8,,0,1,,0
2025/3/10,10.4,0,8,1,5.8,,8,,0,1,,0
2025/3/11,0.0,0,8,1,5.9,,8,,0,1,,0
2025/3/12,0.4,0,8,1,5.9,,8,,0,1,,0
2025/3/13,2.4,0,8,1,6.0,,8,,0,1,,0
2025/3/14,9.9,0,8,1,6.0,,8,,0,1,,0
2025/3/15,0.0,0,8,1,6.0,,8,,0,1,,0
2025/3/16,0.0,0,8,1,6.0,,8,,0,1,,0
2025/3/17,6.9,0,8,1,6.0,,8,,0,1,,0
2025/3/18,9.7,0,8,1,6.1,,8,,0,1,,0
2025/3/19,6.8,0,8,1,6.0,,8,,0,1,,0
2025/3/20,7.0,0,8,1,6.0,,8,,0,1,,0
2025/3/21,8.4,0,8,1,6.0,,8,,0,1,,0
2025/3/22,11.2,0,8,1,6.0,,8,,0,1,,0
2025/3/23,10.9,0,8,1,6.0,,8,,0,1,,0
2025/3/24,3.6,0,8,1,6.0,,8,,0,1,,0
2025/3/25,9.6,0,8,1,6.0,,8,,0,1,,0
2025/3/26,10.6,0,8,1,6.0,,8,,0,1,,0
2025/3/27,3.5,0,8,1,6.0,,8,,0,1,,0
2025/3/28,2.1,0,8,1,6.0,,8,,0,1,,0
2025/3/29,5.2,0,8,1,6.0,,8,,0,1,,0
2025/3/30,9.0,0,8,1,6.0,,8,,0,1,,0
2025/3/31,5.2,0,8,1,6.1,,8,,0,1,,0
2025/4/1,0.0,0,8,1,6.1,,8,,0,1,,0
2025/4/2,3.6,0,8,1,6.1,,8,,0,1,,0
2025/4/3,9.1,0,8,1,6.2,,8,,0,1,,0
2025/4/4,11.9,0,8,1,6.2,,8,,0,1,,0
2025/4/5,10.0,0,8,1,6.3,,8,,0,1,,0
2025/4/6,0.1,0,8,1,6.3,,8,,0,1,,0
2025/4/7,9.5,0,8,1,6.3,,8,,0,1,,0
2025/4/8,8.7,0,8,1,6.3,,8,,0,1,,0
2025/4/9,11.6,0,8,1,6.3,,8,,0,1,,0
2025/4/10,1.8,0,8,1,6.3,,8,,0,1,,0
2025/4/11,8.0,0,8,1,6.3,,8,,0,1,,0
2025/4/12,10.0,0,8,1,6.3,,8,,0,1,,0
2025/4/13,0.0,0,8,1,6.3,,8,,0,1,,0
2025/4/14,10.8,0,8,1,6.3,,8,,0,1,,0
2025/4/15,5.2,0,8,1,6.3,,8,,0,1,,0
2025/4/16,10.6,0,8,1,6.2,,8,,0,1,,0
2025/4/17,11.0,0,8,1,6.2,,8,,0,1,,0
2025/4/18,6.3,0,8,1,6.2,,8,,0,1,,0
2025/4/19,10.1,0,8,1,6.2,,8,,0,1,,0
2025/4/20,0.8,0,8,1,6.2,,8,,0,1,,0
2025/4/21,12.4,0,8,1,6.2,,8,,0,1,,0
2025/4/22,1.1,0,8,1,6.2,,8,,0,1,,0
2025/4/23,0.0,0,8,1,6.2,,8,,0,1,,0
2025/4/24,12.7,0,8,1,6.3,,8,,0,1,,0
2025/4/25,1.0,0,8,1,6.3,,8,,0,1,,0
2025/4/26,12.7,0,8,1,6.3,,8,,0,1,,0
2025/4/27,11.9,0,8,1,6.4,,8,,0,1,,0
2025/4/28,0.4,0,8,1,6.4,,8,,0,1,,0
2025/4/29,12.1,0,8,1,6.4,,8,,0,1,,0
2025/4/30,12.2,0,8,1,6.4,,8,,0,1,,0
2025/5/1,9.5,0,8,1,6.4,,8,,0,1,,0
2025/5/2,2.4,0,8,1,6.3,,8,,0,1,,0
2025/5/3,11.7,0,8,1,6.3,,8,,0,1,,0
2025/5/4,8.8,0,8,1,6.3,,8,,0,1,,0
2025/5/5,11.3,0,8,1,6.2,,8,,0,1,,0
2025/5/6,0.0,0,8,1,6.2,,8,,0,1,,0
2025/5/7,11.6,0,8,1,6.2,,8,,0,1,,0
2025/5/8,10.2,0,8,1,6.2,,8,,0,1,,0
2025/5/9,0.0,0,8,1,6.2,,8,,0,1,,0
2025/5/10,0.0,0,8,1,6.2,,8,,0,1,,0
2025/5/11,5.1,0,8,1,6.2,,8,,0,1,,0
2025/5/12,2.3,0,8,1,6.2,,8,,0,1,,0
2025/5/13,12.3,0,5,1,6.2,,8,,0,1,,0
2025/5/14,9.1,0,8,1,6.3,,8,,0,1,,0
2025/5/15,4.9,0,8,1,6.3,,8,,0,1,,0
2025/5/16,0.5,0,8,1,6.3,,8,,0,1,,0
2025/5/17,0.9,0,8,1,6.4,,8,,0,1,,0
2025/5/18,3.2,0,8,1,6.4,,8,,0,1,,0
2025/5/19,2.6,0,8,1,6.4,,8,,0,1,,0
2025/5/20,12.2,0,8,1,6.5,,8,,0,1,,0
2025/5/21,4.6,0,8,1,6.5,,8,,0,1,,0
2025/5/22,6.1,0,8,1,6.5,,8,,0,1,,0
2025/5/23,8.6,0,8,1,6.5,,8,,0,1,,0
2025/5/24,0.0,0,8,1,6.5,,8,,0,1,,0
2025/5/25,2.6,0,8,1,6.5,,8,,0,1,,0
2025/5/26,0.0,0,8,1,6.5,,8,,0,1,,0
2025/5/27,0.2,0,8,1,6.5,,8,,0,1,,0
2025/5/28,11.0,0,8,1,6.5,,8,,0,1,,0
2025/5/29,0.0,0,8,1,6.4,,8,,0,1,,0
2025/5/30,2.9,0,8,1,6.4,,8,,0,1,,0
2025/5/31,3.4,0,8,1,6.3,,8,,0,1,,0
2025/6/1,11.3,0,8,1,6.3,,8,,0,1,,0
2025/6/2,6.1,0,8,1,6.2,,8,,0,1,,0
2025/6/3,0.0,0,8,1,6.1,,8,,0,1,,0
2025/6/4,8.0,0,8,1,6.0,,8,,0,1,,0
2025/6/5,13.5,0,8,1,5.9,,8,,0,1,,0
2025/6/6,7.6,0,8,1,5.8,,8,,0,1,,0
2025/6/7,2.6,0,8,1,5.7,,8,,0,1,,0
2025/6/8,0.6,0,8,1,5.5,,8,,0,1,,0
2025/6/9,2.1,0,8,1,5.4,,8,,0,1,,0
2025/6/10,0.0,0,8,1,5.3,,8,,0,1,,0
2025/6/11,0.0,0,8,1,5.2,,8,,0,1,,0
2025/6/12,2.9,0,8,1,5.1,,8,,0,1,,0
2025/6/13,8.4,0,8,1,5.0,,8,,0,1,,0
2025/6/14,0.0,0,8,1,4.9,,8,,0,1,,0
2025/6/15,2.2,0,8,1,4.8,,8,,0,1,,0
2025/6/16,9.5,0,8,1,4.7,,8,,0,1,,0
2025/6/17,8.7,0,8,1,4.6,,8,,0,1,,0
2025/6/18,11.7,0,8,1,4.5,,8,,0,1,,0
2025/6/19,13.3,0,8,1,4.5,,8,,0,1,,0
2025/6/20,8.6,0,8,1,4.4,,8,,0,1,,0
2025/6/21,7.9,0,8,1,4.3,,8,,0,1,,0
2025/6/22,4.9,0,8,1,4.2,,8,,0,1,,0
2025/6/23,0.0,0,8,1,4.2,,8,,0,1,,0
2025/6/24,0.0,0,8,1,4.1,,8,,0,1,,0
2025/6/25,3.9,0,8,1,4.1,,8,,0,1,,0
2025/6/26,0.5,0,8,1,4.1,,8,,0,1,,0
2025/6/27,7.2,0,8,1,4.1,,8,,0,1,,0
2025/6/28,13.5,0,8,1,4.1,,8,,0,1,,0
2025/6/29,11.1,0,8,1,4.1,,8,,0,1,,0
2025/6/30,12.6,0,8,1,4.2,,8,,0,1,,0
2025/7/1,7.8,0,8,1,4.2,,8,,0,1,,0
2025/7/2,2.8,0,8,1,4.2,,8,,0,1,,0
2025/7/3,6.9,0,8,1,4.3,,8,,0,1,,0
2025/7/4,6.8,0,8,1,4.3,,8,,0,1,,0
2025/7/5,6.2,0,8,1,4.3,,8,,0,1,,0
2025/7/6,10.9,0,8,1,4.3,,8,,0,1,,0
2025/7/7,11.9,0,8,1,4.4,,8,,0,1,,0
2025/7/8,7.6,0,8,1,4.4,,8,,0,1,,0
2025/7/9,9.5,0,8,1,4.5,,8,,0,1,,0
2025/7/10,10.9,0,8,1,4.5,,8,,0,1,,0
2025/7/11,8.3,0,8,1,4.6,,8,,0,1,,0
2025/7/12,7.6,0,8,1,4.7,,8,,0,1,,0
2025/7/13,9.2,0,8,1,4.8,,8,,0,1,,0
2025/7/14,3.5,0,8,1,4.9,,8,,0,1,,0
2025/7/15,8.9,0,8,1,5.1,,8,,0,1,,0
2025/7/16,2.0,0,8,1,5.2,,8,,0,1,,0
2025/7/17,0.0,0,8,1,5.3,,8,,0,1,,0
2025/7/18,2.5,0,8,1,5.5,,8,,0,1,,0
2025/7/19,9.2,0,8,1,5.6,,8,,0,1,,0
2025/7/20,7.3,0,8,1,5.7,,8,,0,1,,0
2025/7/21,6.6,0,8,1,5.8,,8,,0,1,,0
2025/7/22,10.6,0,8,1,5.9,,8,,0,1,,0
2025/7/23,8.4,0,8,1,6.0,,8,,0,1,,0
2025/7/24,12.3,0,8,1,6.1,,8,,0,1,,0
2025/7/25,10.7,0,8,1,6.2,,8,,0,1,,0
2025/7/26,11.2,0,8,1,6.2,,8,,0,1,,0
2025/7/27,9.1,0,8,1,6.3,,8,,0,1,,0
2025/7/28,12.5,0,8,1,6.3,,8,,0,1,,0
2025/7/29,12.7,0,8,1,6.4,,8,,0,1,,0
2025/7/30,11.7,0,8,1,6.5,,8,,0,1,,0
2025/7/31,7.1,0,8,1,6.5,,8,,0,1,,0
2025/8/1,12.2,0,8,1,6.6,,8,,0,1,,0
2025/8/2,12.4,0,8,1,6.6,,8,,0,1,,0
2025/8/3,12.4,0,8,1,6.7,,8,,0,1,,0
2025/8/4,8.2,0,8,1,6.7,,8,,0,1,,0
2025/8/5,8.7,0,8,1,6.7,,8,,0,1,,0
2025/8/6,8.6,0,8,1,6.7,,8,,0,1,,0
2025/8/7,3.2,0,8,1,6.7,,8,,0,1,,0
2025/8/8,7.7,0,8,1,6.7,,8,,0,1,,0
2025/8/9,5.5,0,8,1,6.7,,8,,0,1,,0
2025/8/10,0.0,0,8,1,6.6,,8,,0,1,,0
2025/8/11,0.7,0,8,1,6.6,,8,,0,1,,0
2025/8/12,0.9,0,8,1,6.5,,8,,0,1,,0
2025/8/13,1.8,0,8,1,6.5,,8,,0,1,,0
2025/8/14,7.5,0,8,1,6.4,,8,,0,1,,0
2025/8/15,10.2,0,8,1,6.4,,8,,0,1,,0
2025/8/16,10.3,0,8,1,6.3,,8,,0,1,,0
2025/8/17,8.7,0,8,1,6.3,,8,,0,1,,0
2025/8/18,11.9,0,8,1,6.3,,8,,0,1,,0
2025/8/19,11.4,0,8,1,6.2,,8,,0,1,,0
2025/8/20,11.7,0,8,1,6.2,,8,,0,1,,0
2025/8/21,9.3,0,8,1,6.1,,8,,0,1,,0
2025/8/22,11.6,0,8,1,6.1,,8,,0,1,,0
2025/8/23,7.8,0,8,1,6.0,,8,,0,1,,0
2025/8/24,7.8,0,8,1,6.0,,8,,0,1,,0
2025/8/25,6.9,0,8,1,5.9,,8,,0,1,,0
2025/8/26,7.2,0,8,1,5.9,,8,,0,1,,0
2025/8/27,6.3,0,8,1,5.8,,8,,0,1,,0
2025/8/28,10.8,0,8,1,5.8,,8,,0,1,,0
2025/8/29,7.5,0,8,1,5.7,,8,,0,1,,0
2025/8/30,11.6,0,8,1,5.7,,8,,0,1,,0
2025/8/31,12.0,0,8,1,5.6,,8,,0,1,,0
2025/9/1,9.3,0,8,1,5.6,,8,,0,1,,0
2025/9/2,9.9,0,8,1,5.5,,8,,0,1,,0
2025/9/3,7.3,0,8,1,5.5,,8,,0,1,,0
2025/9/4,0.0,0,8,1,5.5,,8,,0,1,,0
2025/9/5,5.3,0,8,1,5.4,,8,,0,1,,0
2025/9/6,11.9,0,8,1,5.4,,8,,0,1,,0
2025/9/7,7.0,0,8,1,5.4,,8,,0,1,,0
2025/9/8,6.6,0,8,1,5.3,,8,,0,1,,0
2025/9/9,10.5,0,8,1,5.3,,8,,0,1,,0
2025/9/10,5.7,0,8,1,5.2,,8,,0,1,,0
2025/9/11,1.5,0,8,1,5.2,,8,,0,1,,0
2025/9/12,0.4,0,8,1,5.1,,8,,0,1,,0
2025/9/13,0.7,0,8,1,5.1,,8,,0,1,,0
2025/9/14,1.8,0,8,1,5.0,,8,,0,1,,0
2025/9/15,6.9,0,8,1,5.0,,8,,0,1,,0
2025/9/16,11.0,0,8,1,5.0,,8,,0,1,,0
2025/9/17,6.2,0,8,1,4.9,,8,,0,1,,0
2025/9/18,6.6,0,8,1,4.9,,8,,0,1,,0
2025/9/19,4.6,0,8,1,4.9,,8,,0,1,,0
2025/9/20,0.0,0,8,1,4.9,,8,,0,1,,0
2025/9/21,8.1,0,8,1,4.8,,8,,0,1,,0
2025/9/22,6.9,0,8,1,4.8,,8,,0,1,,0
2025/9/23,5.3,0,8,1,4.8,,8,,0,1,,0
2025/9/24,0.6,0,8,1,4.8,,8,,0,1,,0
2025/9/25,0.1,0,8,1,4.8,,8,,0,1,,0
2025/9/26,7.2,0,8,1,4.7,,8,,0,1,,0
2025/9/27,9.8,0,8,1,4.7,,8,,0,1,,0
2025/9/28,4.6,0,8,1,4.7,,8,,0,1,,0
2025/9/29,3.4,0,8,1,4.7,,8,,0,1,,0
2025/9/30,10.6,0,8,1,4.6,,8,,0,1,,0
2025/10/1,5.5,0,8,1,4.6,,8,,0,1,,0
2025/10/2,7.8,0,8,1,4.6,,8,,0,1,,0
2025/10/3,0.0,0,8,1,4.5,,8,,0,1,,0
2025/10/4,0.0,0,8,1,4.5,,8,,0,1,,0
2025/10/5,0.0,0,8,1,4.5,,8,,0,1,,0
2025/10/6,10.3,0,8,1,4.6,,8,,0,1,,0
2025/10/7,3.2,0,8,1,4.6,,8,,0,1,,0
2025/10/8,8.9,0,8,1,4.6,,8,,0,1,,0
2025/10/9,9.3,0,8,1,4.7,,8,,0,1,,0
2025/10/10,2.3,0,8,1,4.8,,8,,0,1,,0
2025/10/11,0.0,0,8,1,4.9,,8,,0,1,,0
2025/10/12,0.1,0,8,1,5.0,,8,,0,1,,0
2025/10/13,7.9,0,8,1,5.0,,8,,0,1,,0
2025/10/14,0.0,0,8,1,5.1,,8,,0,1,,0
2025/10/15,0.0,0,8,1,5.2,,8,,0,1,,0
2025/10/16,0.0,0,8,1,5.2,,8,,0,1,,0
2025/10/17,7.6,0,8,1,5.2,,8,,0,1,,0
2025/10/18,0.0,0,8,1,5.3,,8,,0,1,,0
2025/10/19,0.0,0,8,1,5.3,,8,,0,1,,0
2025/10/20,1.4,0,8,1,5.3,,8,,0,1,,0
2025/10/21,0.9,0,8,1,5.3,,8,,0,1,,0
2025/10/22,0.0,0,8,1,5.2,,8,,0,1,,0
2025/10/23,7.9,0,8,1,5.2,,8,,0,1,,0
2025/10/24,0.5,0,8,1,5.2,,8,,0,1,,0
2025/10/25,0.0,0,8,1,5.2,,8,,0,1,,0
2025/10/26,0.0,0,8,1,5.2,,8,,0,1,,0
2025/10/27,5.3,0,8,1,5.3,,8,,0,1,,0
2025/10/28,5.3,0,8,1,5.3,,8,,0,1,,0
2025/10/29,8.9,0,8,1,5.3,,8,,0,1,,0
2025/10/30,9.0,0,8,1,5.3,,8,,0,1,,0
2025/10/31,0.0,0,8,1,5.4,,8,,0,1,,0
2025/11/1,4.7,0,8,1,5.4,,8,,0,1,,0
2025/11/2,1.2,0,8,1,5.4,,8,,0,1,,0
2025/11/3,6.0,0,8,1,5.4,,8,,0,1,,0
2025/11/4,2.7,0,8,1,5.4,,8,,0,1,,0
2025/11/5,0.0,0,8,1,5.4,,8,,0,1,,0
2025/11/6,8.3,0,8,1,5.4,,8,,0,1,,0
2025/11/7,9.4,0,8,1,5.4,,8,,0,1,,0
2025/11/8,4.8,0,8,1,5.3,,8,,0,1,,0
2025/11/9,0.0,0,8,1,5.3,,8,,0,1,,0
2025/11/10,1.9,0,8,1,5.3,,8,,0,1,,0
2025/11/11,4.1,0,8,1,5.2,,8,,0,1,,0
2025/11/12,2.9,0,8,1,5.2,,8,,0,1,,0
2025/11/13,0.0,0,8,1,5.2,,8,,0,1,,0
2025/11/14,9.2,0,8,1,5.2,,8,,0,1,,0
2025/11/15,9.4,0,8,1,5.2,,8,,0,1,,0
2025/11/16,9.4,0,8,1,5.2,,8,,0,1,,0
2025/11/17,5.6,0,5,1,5.2,,8,,0,1,,0
2025/11/18,3.9,0,8,1,5.2,,8,,0,1,,0
2025/11/19,4.4,0,8,1,5.2,,8,,0,1,,0
2025/11/20,8.7,0,8,1,5.2,,8,,0,1,,0
2025/11/21,7.0,0,8,1,5.2,,8,,0,1,,0
2025/11/22,7.0,0,8,1,5.2,,8,,0,1,,0
2025/11/23,9.4,0,8,1,5.2,,8,,0,1,,0
2025/11/24,7.7,0,8,1,5.2,,8,,0,1,,0
2025/11/25,0.6,0,8,1,5.1,,8,,0,1,,0
2025/11/26,9.2,0,8,1,5.1,,8,,0,1,,0
2025/11/27,7.2,0,8,1,5.0,,8,,0,1,,0
2025/11/28,4.3,0,8,1,5.0,,8,,0,1,,0
2025/11/29,9.4,0,8,1,5.0,,8,,0,1,,0
2025/11/30,9.3,0,8,1,5.0,,8,,0,1,,0
2025/12/1,5.7,0,8,1,4.9,,8,,0,1,,0
2025/12/2,7.4,0,8,1,4.9,,8,,0,1,,0
2025/12/3,2.4,0,8,1,4.9,,8,,0,1,,0
2025/12/4,3.7,0,8,1,4.9,,8,,0,1,,0
2025/12/5,5.3,0,8,1,4.9,,8,,0,1,,0
2025/12/6,9.3,0,8,1,4.9,,8,,0,1,,0
2025/12/7,8.7,0,8,1,4.9,,8,,0,1,,0
2025/12/8,4.6,0,8,1,5.0,,8,,0,1,,0
2025/12/9,8.4,0,8,1,5.0,,8,,0,1,,0
2025/12/10,8.0,0,8,1,5.0,,8,,0,1,,0
2025/12/11,6.4,0,8,1,5.0,,8,,0,1,,0
2025/12/12,6.3,0,8,1,5.0,,8,,0,1,,0
2025/12/13,5.1,0,8,1,4.9,,8,,0,1,,0
2025/12/14,1.6,0,8,1,4.9,,8,,0,1,,0
2025/12/15,4.0,0,5,1,4.9,,8,,0,1,,0
2025/12/16,8.4,0,8,1,4.9,,8,,0,1,,0
2025/12/17,5.1,0,8,1,4.9,,8,,0,1,,0
2025/12/18,9.4,0,8,1,4.9,,8,,0,1,,0
2025/12/19,2.1,0,8,1,4.8,,8,,0,1,,0
2025/12/20,0.0,0,8,1,4.8,,8,,0,1,,0
2025/12/21,0.0,0,8,1,4.8,,8,,0,1,,0
2025/12/22,9.3,0,8,1,4.8,,8,,0,1,,0
2025/12/23,0.9,0,8,1,4.8,,8,,0,1,,0
2025/12/24,0.0,0,8,1,4.8,,8,,0,1,,0
2025/12/25,0.0,0,8,1,4.8,,8,,0,1,,0
2025/12/26,1.5,0,8,1,4.8,,8,,0,1,,0
2025/12/27,5.9,0,8,1,4.8,,8,,0,1,,0
2025/12/28,8.3,0,8,1,4.8,,8,,0,1,,0
2025/12/29,8.1,0,8,1,4.8,,8,,0,1,,0
2025/12/30,2.5,0,8,1,4.8,,8,,0,1,,0
2025/12/31,5.7,0,8,1,4.9,,8,,0,1,,0
