ダウンロードした時刻：2026/03/16 12:18:07

,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島,大島
2025/1/25,3.2,0,8,1,4.9,,8,,0,1,,0
2025/1/26,8.9,0,8,1,4.9,,8,,0,1,,0
2025/1/27,1.5,0,8,1,5.0,,8,,0,1,,0
2025/1/28,7.1,0,8,1,5.0,,8,,0,1,,0
2025/1/29,8.7,0,8,1,5.1,,8,,0,1,,0
2025/1/30,6.7,0,8,1,5.1,,8,,0,1,,0
2025/1/31,6.5,0,8,1,5.2,,8,,0,1,,0
2025/2/1,5.4,0,8,1,5.2,,8,,0,1,,0
2025/2/2,0.0,0,8,1,5.2,,8,,0,1,,0
2025/2/3,3.4,0,8,1,5.3,,8,,0,1,,0
2025/2/4,8.7,0,8,1,5.3,,8,,0,1,,0
2025/2/5,7.6,0,8,1,5.3,,8,,0,1,,0
2025/2/6,7.4,0,8,1,5.3,,8,,0,1,,0
2025/2/7,8.7,0,8,1,5.3,,8,,0,1,,0
2025/2/8,8.4,0,8,1,5.3,,8,,0,1,,0
2025/2/9,9.3,0,8,1,5.3,,8,,0,1,,0
2025/2/10,7.6,0,8,1,5.3,,8,,0,1,,0
2025/2/11,7.5,0,8,1,5.2,,8,,0,1,,0
2025/2/12,5.7,0,8,1,5.2,,8,,0,1,,0
2025/2/13,8.7,0,8,1,5.1,,8,,0,1,,0
2025/2/14,5.6,0,8,1,5.1,,8,,0,1,,0
2025/2/15,5.9,0,8,1,5.1,,8,,0,1,,0
2025/2/16,4.1,0,8,1,5.0,,8,,0,1,,0
2025/2/17,7.9,0,8,1,5.0,,8,,0,1,,0
2025/2/18,2.8,0,8,1,5.0,,8,,0,1,,0
2025/2/19,6.0,0,8,1,5.0,,8,,0,1,,0
2025/2/20,8.9,0,8,1,5.0,,8,,0,1,,0
2025/2/21,6.6,0,8,1,5.0,,8,,0,1,,0
2025/2/22,7.0,0,8,1,5.0,,8,,0,1,,0
2025/2/23,6.3,0,8,1,5.0,,8,,0,1,,0
2025/2/24,7.2,0,8,1,5.0,,8,,0,1,,0
2025/2/25,8.8,0,8,1,5.0,,8,,0,1,,0
2025/2/26,9.9,0,8,1,4.9,,8,,0,1,,0
2025/2/27,9.8,0,8,1,4.9,,8,,0,1,,0
2025/2/28,8.0,0,8,1,4.9,,8,,0,1,,0
2025/3/1,9.2,0,8,1,4.9,,8,,0,1,,0
2025/3/2,7.6,0,8,1,4.9,,8,,0,1,,0
2025/3/3,0.0,0,8,1,4.9,,8,,0,1,,0
2025/3/4,0.0,0,8,1,4.9,,8,,0,1,,0
2025/3/5,0.0,0,8,1,4.9,,8,,0,1,,0
2025/3/6,1.3,0,8,1,5.0,,8,,0,1,,0
2025/3/7,8.8,0,8,1,5.0,,8,,0,1,,0
2025/3/8,0.4,0,8,1,5.1,,8,,0,1,,0
2025/3/9,7.6,0,8,1,5.1,,8,,0,1,,0
2025/3/10,9.9,0,8,1,5.2,,8,,0,1,,0
2025/3/11,3.5,0,8,1,5.2,,8,,0,1,,0
2025/3/12,0.2,0,8,1,5.2,,8,,0,1,,0
2025/3/13,5.8,0,8,1,5.2,,8,,0,1,,0
2025/3/14,9.3,0,8,1,5.2,,8,,0,1,,0
2025/3/15,0.2,0,8,1,5.2,,8,,0,1,,0
2025/3/16,0.0,0,8,1,5.2,,8,,0,1,,0
2025/3/17,10.5,0,8,1,5.2,,8,,0,1,,0
2025/3/18,7.4,0,8,1,5.1,,8,,0,1,,0
2025/3/19,5.5,0,8,1,5.1,,8,,0,1,,0
2025/3/20,9.9,0,8,1,5.1,,8,,0,1,,0
2025/3/21,10.5,0,8,1,5.1,,8,,0,1,,0
2025/3/22,10.6,0,8,1,5.2,,8,,0,1,,0
2025/3/23,10.5,0,8,1,5.2,,8,,0,1,,0
2025/3/24,5.1,0,8,1,5.2,,8,,0,1,,0
2025/3/25,10.0,0,8,1,5.3,,8,,0,1,,0
2025/3/26,9.0,0,8,1,5.3,,8,,0,1,,0
2025/3/27,5.0,0,8,1,5.4,,8,,0,1,,0
2025/3/28,3.0,0,8,1,5.5,,8,,0,1,,0
2025/3/29,0.0,0,8,1,5.5,,8,,0,1,,0
2025/3/30,8.6,0,8,1,5.6,,8,,0,1,,0
2025/3/31,1.0,0,8,1,5.7,,8,,0,1,,0
2025/4/1,0.0,0,8,1,5.7,,8,,0,1,,0
2025/4/2,1.0,0,8,1,5.8,,8,,0,1,,0
2025/4/3,0.0,0,8,1,5.8,,8,,0,1,,0
2025/4/4,6.4,0,8,1,5.8,,8,,0,1,,0
2025/4/5,6.5,0,8,1,5.9,,8,,0,1,,0
2025/4/6,1.5,0,8,1,5.9,,8,,0,1,,0
2025/4/7,4.5,0,8,1,5.9,,8,,0,1,,0
2025/4/8,9.5,0,8,1,5.9,,8,,0,1,,0
2025/4/9,11.0,0,8,1,5.8,,8,,0,1,,0
2025/4/10,4.1,0,8,1,5.8,,8,,0,1,,0
2025/4/11,0.4,0,8,1,5.8,,8,,0,1,,0
2025/4/12,9.6,0,8,1,5.7,,8,,0,1,,0
2025/4/13,0.0,0,8,1,5.7,,8,,0,1,,0
2025/4/14,9.9,0,8,1,5.6,,8,,0,1,,0
2025/4/15,6.4,0,8,1,5.6,,8,,0,1,,0
2025/4/16,10.6,0,8,1,5.6,,8,,0,1,,0
2025/4/17,11.0,0,8,1,5.5,,8,,0,1,,0
2025/4/18,3.6,0,8,1,5.5,,8,,0,1,,0
2025/4/19,8.1,0,8,1,5.5,,8,,0,1,,0
2025/4/20,0.0,0,8,1,5.5,,8,,0,1,,0
2025/4/21,10.5,0,8,1,5.6,,8,,0,1,,0
2025/4/22,5.6,0,8,1,5.6,,8,,0,1,,0
2025/4/23,0.0,0,8,1,5.7,,8,,0,1,,0
2025/4/24,1.4,0,8,1,5.8,,8,,0,1,,0
2025/4/25,1.3,0,8,1,5.9,,8,,0,1,,0
2025/4/26,7.7,0,8,1,5.9,,8,,0,1,,0
2025/4/27,11.7,0,8,1,6.0,,8,,0,1,,0
2025/4/28,0.1,0,8,1,6.1,,8,,0,1,,0
2025/4/29,11.2,0,8,1,6.1,,8,,0,1,,0
2025/4/30,12.1,0,8,1,6.1,,8,,0,1,,0
2025/5/1,4.3,0,8,1,6.1,,8,,0,1,,0
2025/5/2,0.2,0,8,1,6.1,,8,,0,1,,0
2025/5/3,12.0,0,8,1,6.0,,8,,0,1,,0
2025/5/4,9.1,0,8,1,6.0,,8,,0,1,,0
2025/5/5,11.6,0,8,1,5.9,,8,,0,1,,0
2025/5/6,0.0,0,8,1,5.8,,8,,0,1,,0
2025/5/7,9.8,0,8,1,5.8,,8,,0,1,,0
2025/5/8,6.2,0,8,1,5.7,,8,,0,1,,0
2025/5/9,0.8,0,8,1,5.7,,8,,0,1,,0
2025/5/10,0.0,0,8,1,5.7,,8,,0,1,,0
2025/5/11,8.7,0,8,1,5.7,,8,,0,1,,0
2025/5/12,0.1,0,8,1,5.7,,8,,0,1,,0
2025/5/13,7.9,0,8,1,5.7,,8,,0,1,,0
2025/5/14,9.1,0,8,1,5.7,,8,,0,1,,0
2025/5/15,8.7,0,8,1,5.8,,8,,0,1,,0
2025/5/16,4.7,0,8,1,5.8,,8,,0,1,,0
2025/5/17,0.0,0,8,1,5.9,,8,,0,1,,0
2025/5/18,0.0,0,8,1,5.9,,8,,0,1,,0
2025/5/19,0.2,0,8,1,6.0,,8,,0,1,,0
2025/5/20,9.3,0,8,1,6.0,,8,,0,1,,0
2025/5/21,0.8,0,8,1,6.0,,8,,0,1,,0
2025/5/22,1.3,0,8,1,6.0,,8,,0,1,,0
2025/5/23,0.0,0,8,1,6.1,,8,,0,1,,0
2025/5/24,0.0,0,8,1,6.0,,8,,0,1,,0
2025/5/25,3.3,0,8,1,6.0,,8,,0,1,,0
2025/5/26,0.6,0,8,1,6.0,,8,,0,1,,0
2025/5/27,0.0,0,8,1,6.0,,8,,0,1,,0
2025/5/28,9.1,0,8,1,5.9,,8,,0,1,,0
2025/5/29,1.7,0,8,1,5.9,,8,,0,1,,0
2025/5/30,0.0,0,8,1,5.8,,8,,0,1,,0
2025/5/31,0.6,0,8,1,5.8,,8,,0,1,,0
2025/6/1,3.2,0,8,1,5.7,,8,,0,1,,0
2025/6/2,2.4,0,8,1,5.6,,8,,0,1,,0
2025/6/3,0.0,0,8,1,5.5,,8,,0,1,,0
2025/6/4,6.8,0,8,1,5.3,,8,,0,1,,0
2025/6/5,10.9,0,8,1,5.2,,8,,0,1,,0
2025/6/6,8.0,0,8,1,5.0,,8,,0,1,,0
2025/6/7,5.1,0,8,1,4.9,,8,,0,1,,0
2025/6/8,0.0,0,8,1,4.7,,8,,0,1,,0
2025/6/9,0.0,0,8,1,4.5,,8,,0,1,,0
2025/6/10,0.0,0,8,1,4.4,,8,,0,1,,0
2025/6/11,0.4,0,8,1,4.3,,8,,0,1,,0
2025/6/12,0.9,0,8,1,4.1,,8,,0,1,,0
2025/6/13,8.6,0,8,1,4.1,,8,,0,1,,0
2025/6/14,0.9,0,8,1,4.0,,8,,0,1,,0
2025/6/15,0.3,0,8,1,3.9,,8,,0,1,,0
2025/6/16,6.2,0,8,1,3.8,,8,,0,1,,0
2025/6/17,7.9,0,8,1,3.8,,8,,0,1,,0
2025/6/18,13.1,0,8,1,3.7,,8,,0,1,,0
2025/6/19,9.8,0,8,1,3.6,,8,,0,1,,0
2025/6/20,7.9,0,8,1,3.6,,8,,0,1,,0
2025/6/21,11.0,0,8,1,3.5,,8,,0,1,,0
2025/6/22,9.2,0,8,1,3.5,,8,,0,1,,0
2025/6/23,5.4,0,8,1,3.4,,8,,0,1,,0
2025/6/24,0.4,0,8,1,3.4,,8,,0,1,,0
2025/6/25,1.5,0,8,1,3.4,,8,,0,1,,0
2025/6/26,3.5,0,8,1,3.4,,8,,0,1,,0
2025/6/27,10.6,0,8,1,3.4,,8,,0,1,,0
2025/6/28,12.7,0,8,1,3.5,,8,,0,1,,0
2025/6/29,12.0,0,8,1,3.5,,8,,0,1,,0
2025/6/30,7.1,0,8,1,3.6,,8,,0,1,,0
2025/7/1,1.7,0,8,1,3.7,,8,,0,1,,0
2025/7/2,0.0,0,8,1,3.7,,8,,0,1,,0
2025/7/3,11.5,0,8,1,3.8,,8,,0,1,,0
2025/7/4,12.3,0,8,1,3.9,,8,,0,1,,0
2025/7/5,6.7,0,8,1,3.9,,8,,0,1,,0
2025/7/6,10.4,0,8,1,4.0,,8,,0,1,,0
2025/7/7,9.8,0,8,1,4.1,,8,,0,1,,0
2025/7/8,7.6,0,8,1,4.2,,8,,0,1,,0
2025/7/9,11.6,0,8,1,4.3,,8,,0,1,,0
2025/7/10,5.1,0,8,1,4.4,,8,,0,1,,0
2025/7/11,1.0,0,8,1,4.5,,8,,0,1,,0
2025/7/12,1.5,0,8,1,4.6,,8,,0,1,,0
2025/7/13,10.0,0,8,1,4.7,,8,,0,1,,0
2025/7/14,5.2,0,8,1,4.8,,8,,0,1,,0
2025/7/15,1.6,0,8,1,4.9,,8,,0,1,,0
2025/7/16,0.0,0,8,1,5.0,,8,,0,1,,0
2025/7/17,9.7,0,8,1,5.1,,8,,0,1,,0
2025/7/18,9.6,0,8,1,5.2,,8,,0,1,,0
2025/7/19,11.9,0,8,1,5.2,,8,,0,1,,0
2025/7/20,10.5,0,8,1,5.3,,8,,0,1,,0
2025/7/21,8.1,0,8,1,5.4,,8,,0,1,,0
2025/7/22,7.9,0,8,1,5.5,,8,,0,1,,0
2025/7/23,9.9,0,8,1,5.5,,8,,0,1,,0
2025/7/24,11.1,0,8,1,5.6,,8,,0,1,,0
2025/7/25,10.8,0,8,1,5.7,,8,,0,1,,0
2025/7/26,9.9,0,8,1,5.8,,8,,0,1,,0
2025/7/27,8.4,0,8,1,5.8,,8,,0,1,,0
2025/7/28,11.6,0,8,1,5.9,,8,,0,1,,0
2025/7/29,12.8,0,8,1,6.0,,8,,0,1,,0
2025/7/30,10.2,0,8,1,6.0,,8,,0,1,,0
2025/7/31,10.0,0,8,1,6.1,,8,,0,1,,0
2025/8/1,0.9,0,8,1,6.2,,8,,0,1,,0
2025/8/2,8.9,0,8,1,6.2,,8,,0,1,,0
2025/8/3,10.4,0,8,1,6.3,,8,,0,1,,0
2025/8/4,9.1,0,8,1,6.3,,8,,0,1,,0
2025/8/5,8.3,0,8,1,6.3,,8,,0,1,,0
2025/8/6,11.8,0,8,1,6.3,,8,,0,1,,0
2025/8/7,3.6,0,8,1,6.3,,8,,0,1,,0
2025/8/8,8.3,0,8,1,6.3,,8,,0,1,,0
2025/8/9,7.0,0,8,1,6.2,,8,,0,1,,0
2025/8/10,0.0,0,8,1,6.2,,8,,0,1,,0
2025/8/11,0.3,0,8,1,6.1,,8,,0,1,,0
2025/8/12,0.0,0,8,1,6.1,,8,,0,1,,0
2025/8/13,7.9,0,8,1,6.1,,8,,0,1,,0
2025/8/14,7.9,0,8,1,6.0,,8,,0,1,,0
2025/8/15,11.6,0,8,1,6.0,,8,,0,1,,0
2025/8/16,6.1,0,8,1,6.0,,8,,0,1,,0
2025/8/17,6.3,0,8,1,6.0,,8,,0,1,,0
2025/8/18,11.4,0,8,1,6.1,,8,,0,1,,0
2025/8/19,9.8,0,8,1,6.1,,8,,0,1,,0
2025/8/20,8.6,0,8,1,6.1,,8,,0,1,,0
2025/8/21,8.8,0,8,1,6.1,,8,,0,1,,0
2025/8/22,10.9,0,8,1,6.1,,8,,0,1,,0
2025/8/23,11.3,0,8,1,6.1,,8,,0,1,,0
2025/8/24,10.8,0,8,1,6.1,,8,,0,1,,0
2025/8/25,10.3,0,8,1,6.0,,8,,0,1,,0
2025/8/26,11.2,0,8,1,6.0,,8,,0,1,,0
2025/8/27,6.5,0,8,1,5.9,,8,,0,1,,0
2025/8/28,9.0,0,8,1,5.9,,8,,0,1,,0
2025/8/29,10.5,0,8,1,5.8,,8,,0,1,,0
2025/8/30,10.0,0,8,1,5.7,,8,,0,1,,0
2025/8/31,10.1,0,8,1,5.7,,8,,0,1,,0
2025/9/1,10.0,0,8,1,5.6,,8,,0,1,,0
2025/9/2,7.8,0,8,1,5.6,,8,,0,1,,0
2025/9/3,5.7,0,8,1,5.5,,8,,0,1,,0
2025/9/4,0.1,0,8,1,5.4,,8,,0,1,,0
2025/9/5,0.1,0,8,1,5.4,,8,,0,1,,0
2025/9/6,10.0,0,8,1,5.3,,8,,0,1,,0
2025/9/7,9.8,0,8,1,5.3,,8,,0,1,,0
2025/9/8,11.1,0,8,1,5.2,,8,,0,1,,0
2025/9/9,9.7,0,8,1,5.1,,8,,0,1,,0
2025/9/10,7.4,0,8,1,5.1,,8,,0,1,,0
2025/9/11,8.4,0,8,1,5.0,,8,,0,1,,0
2025/9/12,4.7,0,8,1,4.9,,8,,0,1,,0
2025/9/13,2.2,0,8,1,4.9,,8,,0,1,,0
2025/9/14,1.2,0,8,1,4.8,,8,,0,1,,0
2025/9/15,4.0,0,8,1,4.7,,8,,0,1,,0
2025/9/16,4.3,0,8,1,4.7,,8,,0,1,,0
2025/9/17,0.9,0,8,1,4.6,,8,,0,1,,0
2025/9/18,3.7,0,8,1,4.5,,8,,0,1,,0
2025/9/19,2.2,0,8,1,4.4,,8,,0,1,,0
2025/9/20,1.5,0,8,1,4.4,,8,,0,1,,0
2025/9/21,7.9,0,8,1,4.3,,8,,0,1,,0
2025/9/22,7.0,0,8,1,4.3,,8,,0,1,,0
2025/9/23,6.2,0,8,1,4.2,,8,,0,1,,0
2025/9/24,9.9,0,8,1,4.1,,8,,0,1,,0
2025/9/25,9.9,0,8,1,4.1,,8,,0,1,,0
2025/9/26,10.4,0,8,1,4.0,,8,,0,1,,0
2025/9/27,7.4,0,8,1,4.0,,8,,0,1,,0
2025/9/28,3.0,0,8,1,4.0,,8,,0,1,,0
2025/9/29,5.0,0,8,1,4.0,,8,,0,1,,0
2025/9/30,9.5,0,8,1,4.0,,8,,0,1,,0
2025/10/1,2.5,0,8,1,4.0,,8,,0,1,,0
2025/10/2,8.7,0,8,1,4.0,,8,,0,1,,0
2025/10/3,0.0,0,8,1,4.0,,8,,0,1,,0
2025/10/4,0.0,0,8,1,4.0,,8,,0,1,,0
2025/10/5,6.2,0,8,1,4.0,,8,,0,1,,0
2025/10/6,5.5,0,8,1,4.0,,8,,0,1,,0
2025/10/7,0.8,0,8,1,4.0,,8,,0,1,,0
2025/10/8,5.4,0,8,1,4.1,,8,,0,1,,0
2025/10/9,3.5,0,8,1,4.1,,8,,0,1,,0
2025/10/10,1.9,0,8,1,4.1,,8,,0,1,,0
2025/10/11,0.0,0,8,1,4.1,,8,,0,1,,0
2025/10/12,0.3,0,8,1,4.1,,8,,0,1,,0
2025/10/13,2.2,0,8,1,4.2,,8,,0,1,,0
2025/10/14,0.1,0,8,1,4.2,,8,,0,1,,0
2025/10/15,0.0,0,8,1,4.2,,8,,0,1,,0
2025/10/16,0.1,0,8,1,4.2,,8,,0,1,,0
2025/10/17,9.7,0,8,1,4.2,,8,,0,1,,0
2025/10/18,7.7,0,8,1,4.2,,8,,0,1,,0
2025/10/19,0.0,0,8,1,4.2,,8,,0,1,,0
2025/10/20,1.5,0,8,1,4.2,,8,,0,1,,0
2025/10/21,0.0,0,8,1,4.3,,8,,0,1,,0
2025/10/22,0.0,0,8,1,4.3,,8,,0,1,,0
2025/10/23,1.3,0,8,1,4.3,,8,,0,1,,0
2025/10/24,0.0,0,8,1,4.4,,8,,0,1,,0
2025/10/25,0.0,0,8,1,4.4,,8,,0,1,,0
2025/10/26,0.0,0,8,1,4.5,,8,,0,1,,0
2025/10/27,4.8,0,8,1,4.5,,8,,0,1,,0
2025/10/28,2.5,0,8,1,4.6,,8,,0,1,,0
2025/10/29,0.1,0,8,1,4.6,,8,,0,1,,0
2025/10/30,8.2,0,8,1,4.7,,8,,0,1,,0
2025/10/31,0.8,0,8,1,4.7,,8,,0,1,,0
2025/11/1,3.0,0,8,1,4.8,,8,,0,1,,0
2025/11/2,0.0,0,8,1,4.8,,8,,0,1,,0
2025/11/3,8.0,0,8,1,4.8,,8,,0,1,,0
2025/11/4,5.4,0,8,1,4.8,,8,,0,1,,0
2025/11/5,0.0,0,8,1,4.8,,8,,0,1,,0
2025/11/6,0.2,0,8,1,4.8,,8,,0,1,,0
2025/11/7,8.0,0,8,1,4.8,,8,,0,1,,0
2025/11/8,4.1,0,8,1,4.7,,8,,0,1,,0
2025/11/9,0.1,0,8,1,4.7,,8,,0,1,,0
2025/11/10,6.6,0,8,1,4.7,,8,,0,1,,0
2025/11/11,0.5,0,8,1,4.7,,8,,0,1,,0
2025/11/12,2.7,0,8,1,4.7,,8,,0,1,,0
2025/11/13,0.0,0,8,1,4.6,,8,,0,1,,0
2025/11/14,8.1,0,8,1,4.6,,8,,0,1,,0
2025/11/15,7.6,0,8,1,4.6,,8,,0,1,,0
2025/11/16,7.3,0,8,1,4.6,,8,,0,1,,0
2025/11/17,7.4,0,8,1,4.6,,8,,0,1,,0
2025/11/18,3.2,0,8,1,4.6,,8,,0,1,,0
2025/11/19,1.4,0,8,1,4.6,,8,,0,1,,0
2025/11/20,8.6,0,8,1,4.6,,8,,0,1,,0
2025/11/21,8.6,0,8,1,4.6,,8,,0,1,,0
2025/11/22,6.0,0,8,1,4.6,,8,,0,1,,0
2025/11/23,7.0,0,8,1,4.6,,8,,0,1,,0
2025/11/24,8.1,0,8,1,4.6,,8,,0,1,,0
2025/11/25,0.0,0,8,1,4.6,,8,,0,1,,0
2025/11/26,8.5,0,8,1,4.6,,8,,0,1,,0
2025/11/27,2.2,0,8,1,4.6,,8,,0,1,,0
2025/11/28,8.6,0,8,1,4.6,,8,,0,1,,0
2025/11/29,2.6,0,8,1,4.6,,8,,0,1,,0
2025/11/30,8.4,0,8,1,4.6,,8,,0,1,,0
2025/12/1,6.3,0,8,1,4.6,,8,,0,1,,0
2025/12/2,7.3,0,8,1,4.6,,8,,0,1,,0
2025/12/3,1.0,0,8,1,4.6,,8,,0,1,,0
2025/12/4,8.0,0,8,1,4.6,,8,,0,1,,0
2025/12/5,8.3,0,8,1,4.6,,8,,0,1,,0
2025/12/6,4.5,0,8,1,4.6,,8,,0,1,,0
2025/12/7,8.3,0,8,1,4.6,,8,,0,1,,0
2025/12/8,8.1,0,8,1,4.6,,8,,0,1,,0
2025/12/9,6.1,0,8,1,4.6,,8,,0,1,,0
2025/12/10,4.8,0,8,1,4.7,,8,,0,1,,0
2025/12/11,7.4,0,8,1,4.7,,8,,0,1,,0
2025/12/12,4.7,0,8,1,4.7,,8,,0,1,,0
2025/12/13,1.2,0,8,1,4.7,,8,,0,1,,0
2025/12/14,1.8,0,8,1,4.7,,8,,0,1,,0
2025/12/15,8.4,0,8,1,4.8,,8,,0,1,,0
2025/12/16,5.8,0,8,1,4.8,,8,,0,1,,0
2025/12/17,7.7,0,8,1,4.8,,8,,0,1,,0
2025/12/18,6.6,0,8,1,4.8,,8,,0,1,,0
2025/12/19,5.5,0,8,1,4.8,,8,,0,1,,0
2025/12/20,0.1,0,8,1,4.9,,8,,0,1,,0
2025/12/21,0.1,0,8,1,4.9,,8,,0,1,,0
2025/12/22,5.0,0,8,1,4.9,,8,,0,1,,0
2025/12/23,7.2,0,8,1,4.9,,8,,0,1,,0
2025/12/24,0.0,0,8,1,4.9,,8,,0,1,,0
2025/12/25,0.1,0,8,1,5.0,,8,,0,1,,0
2025/12/26,6.7,0,8,1,5.0,,8,,0,1,,0
2025/12/27,0.0,0,8,1,5.0,,8,,0,1,,0
2025/12/28,8.3,0,8,1,5.0,,8,,0,1,,0
2025/12/29,8.3,0,8,1,5.1,,8,,0,1,,0
2025/12/30,7.1,0,8,1,5.1,,8,,0,1,,0
2025/12/31,7.7,0,8,1,5.1,,8,,0,1,,0
